Itinerary: ['earth', 'earth', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
2160  : 2023-01-01, [0.40286413714263375, 1.3507451359886613, 8.246390726868704]
2161  : 2023-01-01, [0.41306582421522436, 1.3906166145844174, 8.446317561200358]
2162  : 2023-01-01, [0.42328555047064065, 1.4308507490180882, 8.64586370051127]
2163  : 2023-01-01, [0.0012800812846318664, 1.5290179934938746, 9.219701925221495]
2164  : 2023-01-01, [0.0013103281817296614, 1.5715563096950873, 9.427133362123183]
2165  : 2023-01-01, [0.0013403587472154087, 1.6137132519717456, 9.634946389281039]
2166  : 2023-01-01, [0.0013706519936518085, 1.6569328605501863, 9.841696487456161]
2167  : 2023-01-01, [0.0028019070464811984, 1.6969836636779574, 10.050214429275561]
2168  : 2023-01-01, [0.004294124304880017, 1.7368749482951595, 10.25883092739996]
2169  : 2023-01-01, [0.004384631686684646, 1.7797744401969526, 10.465840928116362]
2170  : 2023-01-01, [0.005967931041849047, 1.8200441495178177, 10.673987919440334]
2171  : 2023-01-01, [0.006088537680267635, 1.863917623762003, 10.87999383855773]
2172  : 2023-01-01, [0.009314502468068933, 1.8999511771414181, 11.090734320390514]
2173  : 2023-01-01, [0.009495994323728036, 1.943848397330085, 11.296655608346187]
2174  : 2023-01-01, [0.012906990470882148, 1.979973715709485, 11.507119293819633]
2175  : 2023-01-01, [0.01314934360035896, 2.024318467911716, 11.712532188487927]
2176  : 2023-01-01, [0.016749810121293715, 2.0596996031122314, 11.923550586766476]
2177  : 2023-01-01, [0.018763384416988216, 2.0987906317585585, 12.132445983824454]
2178  : 2023-01-01, [0.022587037327120755, 2.1350642833314475, 12.342348679341432]
2179  : 2023-01-01, [0.02652595632890558, 2.167920247958178, 12.555553795712918]
2180  : 2023-01-01, [0.030599893458165935, 2.202642393947735, 12.7667577125941]
2181  : 2023-01-01, [0.034789654727778604, 2.2347413020840246, 12.980469043188197]
2182  : 2023-01-01, [0.04096985737524958, 2.2615042038558966, 13.197525938768855]
2183  : 2023-01-01, [0.04542896456987023, 2.29277405572357, 13.41179697970656]
2184  : 2023-01-01, [0.05196055335127453, 2.318939180674936, 13.62910026597379]
2185  : 2023-01-01, [0.05865694707703173, 2.3438201566549286, 13.84752289626804]
2186  : 2023-01-01, [0.06751398746733032, 2.3590320566933465, 14.073453955839321]
2187  : 2023-01-01, [0.07462814906773613, 2.382989094177268, 14.292382756754995]
2188  : 2023-01-01, [0.08601236430850556, 2.390357818260041, 14.523629817431452]
2189  : 2023-01-01, [0.0955950837264581, 2.4026901487893086, 14.751714767484232]
2190  : 2023-01-01, [0.10755657331012708, 2.409180826884203, 14.98326259980567]
2191  : 2023-01-01, [0.11764629951418747, 2.419601813572492, 15.212751886913319]
2192  : 2023-01-01, [0.13229936674213907, 2.41518700024546, 15.452513633012401]
2193  : 2023-01-01, [0.14947008010331667, 2.399775126110896, 15.700754793785787]
2194  : 2023-01-01, [0.16485817289311933, 2.392832556092671, 15.94230927101421]
2195  : 2023-01-01, [0.1805520197011806, 2.3837133092699903, 16.185734671028825]
2196  : 2023-01-01, [0.20102131443206347, 2.3535229755270946, 16.445455710040843]
2197  : 2023-01-01, [0.22190002067519407, 2.3245854609191294, 16.703514518405676]
2198  : 2023-01-01, [0.24318555405959566, 2.293711533414188, 16.963102912526217]
2199  : 2023-01-01, [0.262359123218061, 2.2650726885602595, 17.22256818822168]
2200  : 2023-01-01, [0.28650564007626095, 2.219483597733811, 17.494010762189927]
2201  : 2023-01-01, [0.31105744071487823, 2.1737530370683356, 17.765189522216787]
2202  : 2023-01-01, [0.3381814295214674, 2.1153255105776085, 18.046493059900925]
2203  : 2023-01-01, [0.3678692807324024, 2.0453582009785407, 18.336772518289056]
2204  : 2023-01-01, [0.395418415805173, 1.9825186265108963, 18.622062957683934]
2205  : 2023-01-01, [0.42552419572316347, 1.9070497020771995, 18.917426102199634]
2206  : 2023-01-01, [0.4557345927042473, 1.828367299106513, 19.215898108189243]
2207  : 2023-01-01, [0.4880533004407095, 1.7348903006525174, 19.527056398906772]
2208  : 2023-01-01, [0.5207746159349972, 1.6422674950532186, 19.836957889011785]
2209  : 2023-01-01, [0.5556844877488504, 1.5355460957645761, 20.15876941648657]
2210  : 2023-01-01, [0.6947531471701979, 1.123495553629153, 20.68175129920065]
2211  : 2023-01-01, [0.8361712099481609, 1.2138678965704908, 20.69996089348135]
2212  : 2023-01-01, [0.897994503952751, 1.0052515058825464, 21.0967539901647]
2213  : 2023-01-01, [0.9311272623728137, 0.951968765555678, 21.36690397207151]
2214  : 2023-01-01, [0.05941127107175515, 0.8711629463227392, 22.569425782605506]
2215  : 2023-01-01, [0.08632081240966398, 3.8522271269467896, 19.811452060643546]
2216  : 2023-01-01, [0.12715916671396676, 3.267880592272915, 20.60496024101312]
2217  : 2023-01-01, [0.19847703347305035, 4.130318908029385, 19.921204058497565]
2218  : 2023-01-01, [0.26036472477369244, 3.9600679532982714, 20.279567321928035]
2219  : 2023-01-01, [0.14484929944461333, 3.911178166007265, 20.693972534548124]
2220  : 2023-01-10, [0.40391541198138337, 1.3220926748529067, 8.273991913165709]
2221  : 2023-01-10, [0.41406789344606065, 1.3609802245275602, 8.47495188202638]
2222  : 2023-01-10, [0.42431935050823627, 1.4001047152194133, 8.67557593427235]
2223  : 2023-01-10, [0.0012842724506892003, 1.4963495372810922, 9.252366190268217]
2224  : 2023-01-10, [0.0013146238452886824, 1.5381091597390133, 9.460576216415697]
2225  : 2023-01-10, [0.0013447231495008604, 1.5794518075587498, 9.66920346929175]
2226  : 2023-01-10, [0.0027509182858105443, 1.617348639150015, 9.879900442564175]
2227  : 2023-01-10, [0.004218545667741899, 1.6557851609079555, 10.089996293424303]
2228  : 2023-01-10, [0.004310117298699956, 1.698324331203667, 10.297365551497633]
2229  : 2023-01-10, [0.004400808399523158, 1.740814148085717, 10.504785043514762]
2230  : 2023-01-10, [0.005990890553576607, 1.7798596180295005, 10.714149491416924]
2231  : 2023-01-10, [0.007642137848682743, 1.817413433138962, 10.924944429012356]
2232  : 2023-01-10, [0.009355915901052177, 1.8567957657878285, 11.133848318311118]
2233  : 2023-01-10, [0.009538264766064874, 1.8998369626643432, 11.340624772569592]
2234  : 2023-01-10, [0.012968270563093022, 1.9342448645770405, 11.552786864859867]
2235  : 2023-01-10, [0.014868686727956335, 1.9736126819192394, 11.761518631352804]
2236  : 2023-01-10, [0.01682799943711501, 2.012152525665733, 11.971019474897151]
2237  : 2023-01-10, [0.018849640504255943, 2.050310925549001, 12.180839433946744]
2238  : 2023-01-10, [0.022677149439785386, 2.0823660941978037, 12.394956756362411]
2239  : 2023-01-10, [0.026631585538311034, 2.1158248331892464, 12.607543581272443]
2240  : 2023-01-10, [0.030715086153438015, 2.1495725296433066, 12.819712384203257]
2241  : 2023-01-10, [0.034906174156439915, 2.180294625717257, 13.034799200126303]
2242  : 2023-01-10, [0.04110001455182388, 2.2051004139751003, 13.253799571473078]
2243  : 2023-01-10, [0.045566526001439345, 2.2354125542328003, 13.469020919765759]
2244  : 2023-01-10, [0.052101461083381685, 2.260232705319596, 13.687665833597022]
2245  : 2023-01-10, [0.05880406987774875, 2.282601629636915, 13.908594300485335]
2246  : 2023-01-10, [0.06770202634700755, 2.2996585453718605, 14.132639428281133]
2247  : 2023-01-10, [0.07479241657560119, 2.3200999432447187, 14.35510764017968]
2248  : 2023-01-10, [0.0861913883209699, 2.3259670898824627, 14.587841521796566]
2249  : 2023-01-10, [0.09580622340511802, 2.339597629355812, 14.814596147239072]
2250  : 2023-01-10, [0.10770606115840754, 2.3419849226775815, 15.050309016164013]
