Itinerary: ['earth', 'jupiter', 'pluto']
case #: launch date, tof of each leg
4320  : 2024-01-01, [0.5050414665126534, 9.494958533487347]
4321  : 2024-01-01, [0.5166805306948886, 9.73331946930511]
4322  : 2024-01-01, [0.5282770701994222, 9.971722929800578]
4323  : 2024-01-01, [0.5398492325760729, 10.21015076742393]
4324  : 2024-01-01, [0.5513624986597169, 10.448637501340283]
4325  : 2024-01-01, [0.5628338823777341, 10.687166117622267]
4326  : 2024-01-01, [0.5742637950854756, 10.925736204914525]
4327  : 2024-01-01, [0.5856524152826019, 11.164347584717397]
4328  : 2024-01-01, [0.5969861705800104, 11.40301382941999]
4329  : 2024-01-01, [0.608313658432737, 11.641686341567263]
4330  : 2024-01-01, [0.6195792340752112, 11.88042076592479]
4331  : 2024-01-01, [0.630804145901908, 12.119195854098091]
4332  : 2024-01-01, [0.6419883235122117, 12.35801167648779]
4333  : 2024-01-01, [0.6531317674425919, 12.596868232557409]
4334  : 2024-01-01, [0.6642195919904518, 12.835780408009548]
4335  : 2024-01-01, [0.6752819138773829, 13.074718086122617]
4336  : 2024-01-01, [0.6863042882314223, 13.313695711768577]
4337  : 2024-01-01, [0.6972864831176293, 13.552713516882372]
4338  : 2024-01-01, [0.7082288017649591, 13.79177119823504]
4339  : 2024-01-01, [0.7191154653422182, 14.03088453465778]
4340  : 2024-01-01, [0.7299788543881943, 14.270021145611803]
4341  : 2024-01-01, [0.7408033044896364, 14.509196695510363]
4342  : 2024-01-01, [0.7515719143202211, 14.748428085679777]
4343  : 2024-01-01, [0.7623190283453932, 14.987680971654605]
4344  : 2024-01-01, [0.7730283148309935, 15.226971685169007]
4345  : 2024-01-01, [0.7836821726643153, 15.466317827335686]
4346  : 2024-01-01, [0.7942842637006773, 15.705715736299322]
4347  : 2024-01-01, [0.8048808195232919, 15.945119180476707]
4348  : 2024-01-01, [0.8154230229088023, 16.184576977091197]
4349  : 2024-01-01, [0.8259472812723845, 16.424052718727612]
4350  : 2024-01-01, [0.8364173365187293, 16.66358266348127]
4351  : 2024-01-01, [0.8468711720431783, 16.90312882795682]
4352  : 2024-01-01, [0.857235722086645, 17.142764277913354]
4353  : 2024-01-01, [0.8676204922339551, 17.382379507766043]
4354  : 2024-01-01, [0.8779525936243, 17.622047406375703]
4355  : 2024-01-01, [0.8882711506376804, 17.86172884936232]
4356  : 2024-01-01, [0.8984996292392761, 18.101500370760725]
4357  : 2024-01-01, [0.9087538504221523, 18.341246149577845]
4358  : 2024-01-01, [0.9189573013486708, 18.58104269865133]
4359  : 2024-01-01, [0.9291504031244654, 18.820849596875533]
4360  : 2024-01-01, [0.9392522304455445, 19.060747769554457]
4361  : 2024-01-01, [0.949386054147246, 19.300613945852753]
4362  : 2024-01-01, [0.9594707134440552, 19.540529286555945]
4363  : 2024-01-01, [0.9695045221264518, 19.780495477873547]
4364  : 2024-01-01, [0.9795335204767558, 20.020466479523243]
4365  : 2024-01-01, [0.989535527452787, 20.260464472547213]
4366  : 2024-01-01, [0.9994862442343098, 20.50051375576569]
4367  : 2024-01-01, [1.0094353170819053, 20.740564682918095]
4368  : 2024-01-01, [1.0193804391607026, 20.980619560839298]
4369  : 2024-01-01, [1.0292310663521504, 21.22076893364785]
4370  : 2024-01-01, [1.0391040859732403, 21.46089591402676]
4371  : 2024-01-01, [1.0489246057985004, 21.7010753942015]
4372  : 2024-01-01, [1.0587481997686792, 21.94125180023132]
4373  : 2024-01-01, [1.0685476111496321, 22.18145238885037]
4374  : 2024-01-01, [1.0782923905408235, 22.421707609459176]
4375  : 2024-01-01, [1.0880424577875907, 22.66195754221241]
4376  : 2024-01-01, [1.0977152093440474, 22.902284790655955]
4377  : 2024-01-01, [1.1074159132152541, 23.142584086784748]
4378  : 2024-01-01, [1.1170596690764305, 23.38294033092357]
4379  : 2024-01-01, [1.1267108325524156, 23.623289167447584]
4380  : 2024-01-10, [0.5051997419258226, 9.494800258074179]
4381  : 2024-01-10, [0.5168442090035402, 9.73315579099646]
4382  : 2024-01-10, [0.52844618462968, 9.97155381537032]
4383  : 2024-01-10, [0.5400242207332777, 10.209975779266722]
4384  : 2024-01-10, [0.5515430147503801, 10.448456985249619]
4385  : 2024-01-10, [0.5630199537604006, 10.6869800462396]
4386  : 2024-01-10, [0.5744554817601571, 10.925544518239844]
4387  : 2024-01-10, [0.5858497288954053, 11.164150271104594]
4388  : 2024-01-10, [0.597189153440947, 11.402810846559053]
4389  : 2024-01-10, [0.6085226808799558, 11.641477319120044]
4390  : 2024-01-10, [0.6197939635360876, 11.880206036463912]
4391  : 2024-01-10, [0.6310246263902786, 12.118975373609722]
4392  : 2024-01-10, [0.6422145362701109, 12.357785463729888]
4393  : 2024-01-10, [0.6533637558425909, 12.59663624415741]
4394  : 2024-01-10, [0.6644724853253389, 12.835527514674663]
4395  : 2024-01-10, [0.6755255205977132, 13.074474479402287]
4396  : 2024-01-10, [0.6865537470580677, 13.313446252941933]
4397  : 2024-01-10, [0.6975417811658398, 13.55245821883416]
4398  : 2024-01-10, [0.7084900195621637, 13.791509980437834]
4399  : 2024-01-10, [0.7193826109190812, 14.030617389080916]
4400  : 2024-01-10, [0.7302519685224044, 14.269748031477596]
4401  : 2024-01-10, [0.7410824057582714, 14.508917594241726]
4402  : 2024-01-10, [0.7518570286602511, 14.74814297133975]
4403  : 2024-01-10, [0.7626102452810172, 14.987389754718981]
4404  : 2024-01-10, [0.7733256163307574, 15.226674383669243]
4405  : 2024-01-10, [0.7839856043325297, 15.466014395667472]
4406  : 2024-01-10, [0.7946258416794337, 15.705374158320568]
4407  : 2024-01-10, [0.8051962270513846, 15.944803772948612]
4408  : 2024-01-10, [0.8157447109045475, 16.184255289095454]
4409  : 2024-01-10, [0.8262752339353643, 16.423724766064634]
4410  : 2024-01-10, [0.8367516462705874, 16.663248353729415]
4411  : 2024-01-10, [0.8472118881501034, 16.902788111849894]
4412  : 2024-01-10, [0.8576377639718695, 17.142362236028134]
4413  : 2024-01-10, [0.8679736806967031, 17.382026319303296]
4414  : 2024-01-10, [0.8783315806068372, 17.621668419393163]
4415  : 2024-01-10, [0.8886374471729342, 17.861362552827064]
4416  : 2024-01-10, [0.8989308732139173, 18.101069126786083]
4417  : 2024-01-10, [0.9091329714632425, 18.340867028536753]
4418  : 2024-01-10, [0.9193630861580973, 18.5806369138419]
4419  : 2024-01-10, [0.9295430146077804, 18.820456985392216]
