Itinerary: ['earth', 'JUPITER_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
2160  : 2023-01-01, [0.8951801310837728, 2.0393357023772944, 7.0654841665389325]
2161  : 2023-01-01, [0.9196084585202106, 2.089073001967032, 7.241318539512758]
2162  : 2023-01-01, [0.9441667639151903, 2.138820090646361, 7.417013145438448]
2163  : 2023-01-01, [0.9688391526982586, 2.1885412360202987, 7.592619611281442]
2164  : 2023-01-01, [0.9936124170051923, 2.2383617971162546, 7.768025785878552]
2165  : 2023-01-01, [1.0185145775599027, 2.288040598010527, 7.94344482442957]
2166  : 2023-01-01, [1.0435800420494388, 2.3378059608420885, 8.118613997108472]
2167  : 2023-01-01, [1.06901908729174, 2.387057163920084, 8.293923748788176]
2168  : 2023-01-01, [1.094280520275298, 2.436682397350414, 8.469037082374287]
2169  : 2023-01-01, [1.119732779629983, 2.4864570799544823, 8.643810140415535]
2170  : 2023-01-01, [1.1455563979321084, 2.5356471837936, 8.81879641827429]
2171  : 2023-01-01, [1.1712378229652316, 2.585360548703197, 8.993401628331572]
2172  : 2023-01-01, [1.1969859846875193, 2.6349507118494797, 9.168063303463]
2173  : 2023-01-01, [1.2232800992247128, 2.6842765900832473, 9.342443310692039]
2174  : 2023-01-01, [1.249630835492865, 2.733414749514149, 9.516954414992984]
2175  : 2023-01-01, [1.275818549685032, 2.7831245043099506, 9.691056946005018]
2176  : 2023-01-01, [1.3025218412553843, 2.832438511356306, 9.86503964738831]
2177  : 2023-01-01, [1.3293407806090363, 2.881698952749682, 10.038960266641281]
2178  : 2023-01-01, [1.3558596102660327, 2.9315152578041097, 10.212625131929858]
2179  : 2023-01-01, [1.382976582468507, 2.9808449206091985, 10.386178496922293]
2180  : 2023-01-01, [1.4102296800067764, 3.0299498250606054, 10.559820494932618]
2181  : 2023-01-01, [1.437610241160363, 3.0794730219803843, 10.732916736859252]
2182  : 2023-01-01, [1.465154580643157, 3.1288341766090357, 10.906011242747807]
2183  : 2023-01-01, [1.4929149770471406, 3.1783660182624893, 11.07871900469037]
2184  : 2023-01-01, [1.521196049880872, 3.2270667564184286, 11.251737193700698]
2185  : 2023-01-01, [1.549182460248597, 3.2764801085754893, 11.424337431175912]
2186  : 2023-01-01, [1.5772900231618014, 3.3261158461971108, 11.596594130641087]
2187  : 2023-01-01, [1.6061169442321974, 3.3750247062002425, 11.768858349567559]
2188  : 2023-01-01, [1.6345252095152702, 3.424726950700112, 11.940747839784619]
2189  : 2023-01-01, [1.6636744399887398, 3.4736881229347327, 12.112637437076527]
2190  : 2023-01-01, [1.6924159334201547, 3.523533403584908, 12.284050662994938]
2191  : 2023-01-01, [1.721863016777787, 3.572777961743873, 12.455359021478339]
2192  : 2023-01-01, [1.7515100541833184, 3.622132259326256, 12.626357686490424]
2193  : 2023-01-01, [1.7813253935879163, 3.671533130567423, 12.79714147584466]
2194  : 2023-01-01, [1.810777703333645, 3.7214805752935294, 12.967741721372827]
2195  : 2023-01-01, [1.8409250489063327, 3.770992814664805, 13.138082136428864]
2196  : 2023-01-01, [1.8717563966501034, 3.8199885893441565, 13.308255014005741]
2197  : 2023-01-01, [1.9022527934689832, 3.8696161735823864, 13.47813103294863]
2198  : 2023-01-01, [1.9330214536184087, 3.919513696674967, 13.647464849706624]
2199  : 2023-01-01, [1.9638653007337528, 3.969284108637983, 13.816850590628263]
2200  : 2023-01-01, [1.9955651962002732, 4.0188179939752855, 13.985616809824442]
2201  : 2023-01-01, [2.0268391717208907, 4.069217543833939, 14.153943284445171]
2202  : 2023-01-01, [2.058810963032449, 4.118707766443712, 14.32248127052384]
2203  : 2023-01-01, [2.091046918080591, 4.16842576426221, 14.4905273176572]
2204  : 2023-01-01, [2.1230588166425464, 4.21949671054097, 14.657444472816483]
2205  : 2023-01-01, [2.155680810650302, 4.269418146979924, 14.824901042369774]
2206  : 2023-01-01, [2.188537999431542, 4.319518123598246, 14.991943876970213]
2207  : 2023-01-01, [2.221714004804187, 4.370328175660187, 15.157957819535628]
2208  : 2023-01-01, [2.255570393751906, 4.4200308546227545, 15.324398751625338]
2209  : 2023-01-01, [2.289196839643879, 4.470796986755844, 15.490006173600278]
2210  : 2023-01-01, [2.322948236564302, 4.521921467442735, 15.655130295992965]
2211  : 2023-01-01, [2.3575656809800676, 4.572630068704491, 15.819804250315443]
2212  : 2023-01-01, [2.3924442992880013, 4.623166365373382, 15.98438933533862]
2213  : 2023-01-01, [2.4270405472834695, 4.675146988796065, 16.147812463920463]
2214  : 2023-01-01, [2.4623119575166332, 4.726303260541347, 16.311384781942017]
2215  : 2023-01-01, [2.497983942910646, 4.7775462479944615, 16.47446980909489]
2216  : 2023-01-01, [2.5338811933635017, 4.829373205948259, 16.636745600688236]
2217  : 2023-01-01, [2.5708099931815926, 4.880988239066726, 16.79820176775168]
2218  : 2023-01-01, [2.607164105969915, 4.933168489790057, 16.95966740424003]
2219  : 2023-01-01, [2.6446139310792685, 4.985233025261893, 17.120153043658835]
2220  : 2023-01-10, [0.8759235655688565, 2.0432213034006925, 7.080855131030452]
2221  : 2023-01-10, [0.8998803540417548, 2.093211464841215, 7.256908181117031]
2222  : 2023-01-10, [0.9239444156056031, 2.1430200141640436, 7.433035570230354]
2223  : 2023-01-10, [0.9478657916490791, 2.193209260675744, 7.608924947675177]
2224  : 2023-01-10, [0.9721687981666637, 2.2430160629731177, 7.7848151388602185]
2225  : 2023-01-10, [0.9965871308219098, 2.2928015647347766, 7.960611304443314]
2226  : 2023-01-10, [1.0211072646727866, 2.342698036327935, 8.136194698999278]
2227  : 2023-01-10, [1.0458061622207615, 2.3925616301165027, 8.311632207662734]
2228  : 2023-01-10, [1.0705757932558835, 2.4423042883559467, 8.487119918388169]
2229  : 2023-01-10, [1.0954635236410493, 2.4920354721183577, 8.662501004240594]
2230  : 2023-01-10, [1.1204701575569183, 2.5417577780648473, 8.837772064378235]
2231  : 2023-01-10, [1.1459794379735377, 2.591168861041112, 9.012851700985351]
2232  : 2023-01-10, [1.1712333666553998, 2.6408741321125726, 9.187892501232026]
2233  : 2023-01-10, [1.1965906556381953, 2.6907287896804477, 9.362680554681356]
2234  : 2023-01-10, [1.2224943358319358, 2.74011785103256, 9.537387813135505]
2235  : 2023-01-10, [1.2481420119931725, 2.7898731921603175, 9.71198479584651]
2236  : 2023-01-10, [1.2743147494287987, 2.839257592080957, 9.886427658490245]
2237  : 2023-01-10, [1.3002536473878754, 2.889106342886779, 10.060640009725345]
2238  : 2023-01-10, [1.3266592917847633, 2.938411780557073, 10.234928927658165]
2239  : 2023-01-10, [1.3528550489255546, 2.9882826499512056, 10.408862301123241]
2240  : 2023-01-10, [1.379598467131609, 3.0377467627558787, 10.582654770112514]
2241  : 2023-01-10, [1.406457123566702, 3.087162629768211, 10.756380246665087]
2242  : 2023-01-10, [1.4334841420284645, 3.1366487306951565, 10.92986712727638]
2243  : 2023-01-10, [1.4602165576146935, 3.1868426987894876, 11.10294074359582]
2244  : 2023-01-10, [1.4875230999532392, 3.2363759830172127, 11.276100917029549]
2245  : 2023-01-10, [1.5149734995005142, 3.2859312170470223, 11.449095283452463]
2246  : 2023-01-10, [1.5429782432657613, 3.3349281920775424, 11.622093564656696]
2247  : 2023-01-10, [1.570725999014075, 3.3845321577528766, 11.794741843233048]
2248  : 2023-01-10, [1.5987288399129511, 3.4344026094515954, 11.966868550635452]
2249  : 2023-01-10, [1.6267705309640008, 3.4840763105175463, 12.139153158518452]
2250  : 2023-01-10, [1.6554273724333926, 3.533245107729429, 12.311327519837178]
2251  : 2023-01-10, [1.6838565756334507, 3.5831765712234667, 12.48296685314308]
2252  : 2023-01-10, [1.7129245456369206, 3.6328930101033716, 12.654182444259707]
2253  : 2023-01-10, [1.7415762663824188, 3.6827453964266965, 12.825678337190885]
2254  : 2023-01-10, [1.7709975171811525, 3.7323449622655795, 12.996657520553269]
2255  : 2023-01-10, [1.8005552265278544, 3.7819303314043444, 13.167514442067802]
2256  : 2023-01-10, [1.8298035645090056, 3.8322188094739698, 13.337977626017025]
2257  : 2023-01-10, [1.859698200674059, 3.8822433109668997, 13.508058488359042]
2258  : 2023-01-10, [1.8898910237529782, 3.932299663552781, 13.67780931269424]
2259  : 2023-01-10, [1.920159401088032, 3.9822259192178437, 13.847614679694125]
2260  : 2023-01-10, [1.9511422329628736, 4.031634091670273, 14.017223675366855]
2261  : 2023-01-10, [1.9818727151125193, 4.082263463463486, 14.185863821423995]
2262  : 2023-01-10, [2.012776939543749, 4.132654060958484, 14.354568999497765]
2263  : 2023-01-10, [2.0443519746299903, 4.182386803553848, 14.523261221816162]
2264  : 2023-01-10, [2.07558719451896, 4.2332450434970985, 14.691167761983941]
