Itinerary: ['earth', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
2160  : 2023-01-01, [0.5483020707979762, 1.433896421019155, 8.01780150818287]
2161  : 2023-01-01, [0.04506944569676823, 1.5295865408529281, 8.675344013450305]
2162  : 2023-01-01, [0.04740661543467689, 1.5709907692804306, 8.881602615284892]
2163  : 2023-01-01, [0.050039973139512896, 1.6127033954243921, 9.087256631436095]
2164  : 2023-01-01, [0.052032274617712745, 1.6566473473997898, 9.291320377982498]
2165  : 2023-01-01, [0.054934679269814796, 1.698777071792463, 9.496288248937724]
2166  : 2023-01-01, [0.057944417973440195, 1.7419622001035344, 9.700093381923026]
2167  : 2023-01-01, [0.06105563107976047, 1.7845226205048552, 9.904421748415384]
2168  : 2023-01-01, [0.06425414299137105, 1.8282292612255528, 10.107516595783077]
2169  : 2023-01-01, [0.06755525465548252, 1.8721222024601418, 10.310322542884375]
2170  : 2023-01-01, [0.07092868603304756, 1.9159171806030657, 10.513154133363887]
2171  : 2023-01-01, [0.1285085942685583, 1.8554094824938179, 10.766081923237623]
2172  : 2023-01-01, [0.1350120090926399, 1.894388219693521, 10.97059977121384]
2173  : 2023-01-01, [0.14167819384395777, 1.9343421234859763, 11.173979682670065]
2174  : 2023-01-01, [0.14846489110127878, 1.973556535208687, 11.377978573690033]
2175  : 2023-01-01, [0.15640033678773818, 2.011188728611831, 11.58241093460043]
2176  : 2023-01-01, [0.16351595106479144, 2.0510199864936243, 11.785464062441585]
2177  : 2023-01-01, [0.1707610941819811, 2.0914441050302575, 11.987794800787762]
2178  : 2023-01-01, [0.36024122459373276, 1.9815471544048004, 12.158211621001469]
2179  : 2023-01-01, [0.3731248948220089, 2.0185015662472927, 12.358373538930698]
2180  : 2023-01-01, [0.3863490295323374, 2.055700160333776, 12.557950810133885]
2181  : 2023-01-01, [0.8681852346499657, 2.4760259543111496, 11.905788811038882]
2182  : 2023-01-01, [1.0272119070005172, 0.43522019289333197, 14.03756790010615]
2183  : 2023-01-01, [0.08283285179084936, 0.4792036565233085, 15.18796349168584]
2184  : 2023-01-01, [0.06643443626165516, 1.9203472161501904, 14.013218347588154]
2185  : 2023-01-01, [0.06956042373346126, 1.9480722571324665, 14.23236731913407]
2186  : 2023-01-01, [0.07168702121463062, 1.9786455357260075, 14.44966744305936]
2187  : 2023-01-01, [0.07385475815055378, 2.0092546309300863, 14.666890610919358]
2188  : 2023-01-01, [0.07476547196741193, 2.610218450328871, 14.315016077703715]
2189  : 2023-01-01, [0.07697767230073418, 2.6531244996769647, 14.5198978280223]
2190  : 2023-01-01, [0.08051912657680535, 2.6940392824032977, 14.725441591019896]
2191  : 2023-01-01, [0.08294702784334969, 2.738400927754528, 14.928652044402124]
2192  : 2023-01-01, [0.08674992690123147, 2.778943301788603, 15.134306771310166]
2193  : 2023-01-01, [0.08930877883983279, 2.822884693902015, 15.337806527258152]
2194  : 2023-01-01, [0.09189623872127489, 2.8665110561835907, 15.541592705095134]
2195  : 2023-01-01, [0.09595314286974928, 2.9085569200919092, 15.745489937038345]
2196  : 2023-01-01, [0.10007729984469046, 2.950149227972635, 15.949773472182676]
2197  : 2023-01-01, [0.10284388149224241, 2.9946566563600636, 16.152499462147695]
