Itinerary: ['earth', 'mars', 'pluto']
case #: launch date, tof of each leg
12960 : 2028-01-01, [0.6424861018798309, 9.35751389812017]
12961 : 2028-01-01, [0.690244327217999, 9.559755672782]
12962 : 2028-01-01, [0.05949396977179362, 10.440506030228205]
12963 : 2028-01-01, [0.32858229456057825, 10.421417705439422]
12964 : 2028-01-01, [0.48133054172485323, 10.518669458275147]
12965 : 2028-01-01, [0.5004234381512864, 10.749576561848713]
12966 : 2028-01-01, [0.6315436537933179, 10.868456346206681]
12967 : 2028-01-01, [0.6593134794071102, 11.09068652059289]
12968 : 2028-01-01, [0.6900911120491885, 11.309908887950813]
12969 : 2028-01-01, [0.7240472419531905, 11.52595275804681]
12970 : 2028-01-01, [0.07643472952034575, 12.423565270479655]
12971 : 2028-01-01, [0.0940447859712014, 12.655955214028799]
12972 : 2028-01-01, [0.11272501888016204, 12.88727498111984]
12973 : 2028-01-01, [0.1337689388965612, 13.11623106110344]
12974 : 2028-01-01, [0.15725139005520286, 13.342748609944795]
12975 : 2028-01-01, [0.18318292376396914, 13.566817076236031]
12976 : 2028-01-01, [0.4241318883064105, 13.57586811169359]
12977 : 2028-01-01, [0.4393751697969628, 13.810624830203036]
12978 : 2028-01-01, [0.45635489827519143, 14.043645101724808]
12979 : 2028-01-01, [0.724547689960301, 14.0254523100397]
12980 : 2028-01-01, [0.7456715166468545, 14.254328483353145]
12981 : 2028-01-01, [0.7698319625070421, 14.480168037492957]
12982 : 2028-01-01, [0.7972139967262681, 14.702786003273733]
12983 : 2028-01-01, [0.8308361280162747, 14.919163871983725]
12984 : 2028-01-01, [0.8624015797889679, 15.137598420211031]
12985 : 2028-01-01, [0.8976398842814617, 15.352360115718538]
12986 : 2028-01-01, [0.9367186677591576, 15.563281332240845]
12987 : 2028-01-01, [0.9798932559088919, 15.770106744091105]
12988 : 2028-01-01, [1.0304297516008967, 15.969570248399103]
12989 : 2028-01-01, [1.0821322821854722, 16.167867717814527]
12990 : 2028-01-01, [0.09355842483002996, 17.406441575169968]
12991 : 2028-01-01, [0.12250882618783746, 17.62749117381216]
12992 : 2028-01-01, [0.1595754502091286, 17.84042454979087]
12993 : 2028-01-01, [0.20036707078714602, 18.04963292921285]
12994 : 2028-01-01, [0.3040298113613692, 18.195970188638633]
12995 : 2028-01-01, [0.3602169654375597, 18.38978303456244]
12996 : 2028-01-01, [0.39771960088074776, 18.602280399119252]
12997 : 2028-01-01, [0.44136115801572273, 18.808638841984276]
12998 : 2028-01-01, [0.4932145072284843, 19.006785492771517]
12999 : 2028-01-01, [0.5595466097732605, 19.19045339022674]
13000 : 2028-01-01, [0.6108403450605218, 19.389159654939476]
13001 : 2028-01-01, [0.6450188566430732, 19.604981143356927]
13002 : 2028-01-01, [0.6799364014278011, 19.8200635985722]
13003 : 2028-01-01, [0.7617167887659831, 19.988283211234016]
13004 : 2028-01-01, [0.8320063250573734, 20.167993674942625]
13005 : 2028-01-01, [0.9447163596138864, 20.305283640386115]
13006 : 2028-01-01, [1.063739161967508, 20.436260838032496]
13007 : 2028-01-01, [1.225196810562436, 20.524803189437566]
13008 : 2028-01-01, [1.0217206153260971, 20.9782793846739]
13009 : 2028-01-01, [1.0167792638650028, 21.233220736134996]
13010 : 2028-01-01, [0.14402316188654718, 22.355976838113452]
13011 : 2028-01-01, [1.1678818749208206, 21.58211812507918]
13012 : 2028-01-01, [1.4322300321124808, 21.567769967887518]
13013 : 2028-01-01, [1.3671700222002763, 21.882829977799723]
13014 : 2028-01-01, [0.2285618634151276, 23.271438136584873]
13015 : 2028-01-01, [0.1300664488777239, 23.619933551122276]
13016 : 2028-01-01, [0.19622042852291702, 23.803779571477083]
13017 : 2028-01-01, [1.4691577084894558, 22.780842291510545]
13018 : 2028-01-01, [0.1400835739854945, 24.359916426014504]
13019 : 2028-01-01, [0.15761012257574994, 24.59238987742425]
13020 : 2028-01-10, [0.6517015951225197, 9.348298404877479]
13021 : 2028-01-10, [0.7017457018606867, 9.548254298139314]
13022 : 2028-01-10, [0.7528054074367544, 9.747194592563247]
13023 : 2028-01-10, [0.3247563375547691, 10.425243662445231]
13024 : 2028-01-10, [0.3399360230642908, 10.66006397693571]
13025 : 2028-01-10, [0.5011565796109979, 10.748843420389]
13026 : 2028-01-10, [0.5227649057089049, 10.977235094291096]
13027 : 2028-01-10, [0.6629635704655227, 11.087036429534477]
13028 : 2028-01-10, [0.69379285352211, 11.30620714647789]
13029 : 2028-01-10, [0.7277961641733551, 11.522203835826646]
13030 : 2028-01-10, [0.7626932890785184, 11.737306710921482]
13031 : 2028-01-10, [0.08529255266833309, 12.664707447331667]
13032 : 2028-01-10, [0.10199759957200902, 12.89800240042799]
13033 : 2028-01-10, [0.1239972370637961, 13.126002762936206]
13034 : 2028-01-10, [0.14548739038638736, 13.354512609613614]
13035 : 2028-01-10, [0.17071523436874317, 13.579284765631256]
13036 : 2028-01-10, [0.19874289691189606, 13.801257103088105]
13037 : 2028-01-10, [0.4307063201273068, 13.819293679872692]
13038 : 2028-01-10, [0.4514761566541694, 14.048523843345832]
13039 : 2028-01-10, [0.47203439193660157, 14.277965608063399]
13040 : 2028-01-10, [0.5778560578797438, 14.422143942120256]
13041 : 2028-01-10, [0.7659668210844321, 14.484033178915567]
13042 : 2028-01-10, [0.7904982841265403, 14.70950171587346]
13043 : 2028-01-10, [0.8211047234035065, 14.928895276596494]
13044 : 2028-01-10, [0.8524182932862839, 15.147581706713716]
13045 : 2028-01-10, [0.8873733311540645, 15.362626668845936]
13046 : 2028-01-10, [0.9291733750164054, 15.570826624983594]
13047 : 2028-01-10, [0.9689292265684519, 15.781070773431546]
13048 : 2028-01-10, [1.0159040809679922, 15.98409591903201]
