Itinerary: ['earth', 'mars', 'saturn', 'pluto']
case #: launch date, tof of each leg
2160  : 2023-01-01, [0.10648255635523717, 1.42329226021745, 8.470225183427313]
2161  : 2023-01-01, [0.11127993736761466, 1.451319524120223, 8.687400538512161]
2162  : 2023-01-01, [0.11559768462374087, 1.4812742461630055, 8.903128069213254]
2163  : 2023-01-01, [0.1205600836852798, 1.508734363046555, 9.120705553268165]
2164  : 2023-01-01, [0.12561619819278078, 1.5357715630317796, 9.338612238775438]
2165  : 2023-01-01, [0.13075881977378648, 1.5625876206579699, 9.556653559568243]
2166  : 2023-01-01, [0.13598484238604266, 1.589023348955926, 9.774991808658031]
2167  : 2023-01-01, [0.14130087573438402, 1.6151764057676843, 9.993522718497932]
2168  : 2023-01-01, [0.1467074002677732, 1.6409306207580538, 10.212361978974172]
2169  : 2023-01-01, [0.1521845359636917, 1.6664594201924117, 10.431356043843895]
2170  : 2023-01-01, [0.15774030921023433, 1.6919885273113253, 10.650271163478441]
2171  : 2023-01-01, [0.1628320128820208, 1.7125921960615165, 10.874575791056463]
2172  : 2023-01-01, [0.1684992189593031, 1.740555436551671, 11.090945344489027]
2173  : 2023-01-01, [0.5579700058074342, 2.0961853023925254, 10.59584469180004]
2174  : 2023-01-01, [0.0439250774445108, 2.218857006010505, 11.237217916544983]
2175  : 2023-01-01, [0.045090546386752924, 2.256616867693661, 11.448292585919587]
2176  : 2023-01-01, [0.04641680908195128, 2.2942504372677206, 11.659332753650327]
2177  : 2023-01-01, [0.04785098117591835, 2.3314686518655745, 11.870680366958506]
2178  : 2023-01-01, [0.0501325732243651, 2.366086417625542, 12.083781009150092]
2179  : 2023-01-01, [0.05174012141487911, 2.403077538237889, 12.295182340347232]
2180  : 2023-01-01, [0.05338514853336202, 2.4398537488103904, 12.506761102656247]
2181  : 2023-01-01, [0.05506930043704966, 2.476691886593962, 12.718238812968988]
2182  : 2023-01-01, [0.056783228785401416, 2.5132991912429046, 12.929917579971693]
2183  : 2023-01-01, [0.05942715611945019, 2.546576413769234, 13.143996430111315]
2184  : 2023-01-01, [0.06122007435199972, 2.5830484295160296, 13.35573149613197]
2185  : 2023-01-01, [0.06303726038863422, 2.6192892894169755, 13.56767345019439]
2186  : 2023-01-01, [0.06582673711174443, 2.6519588715651827, 13.782214391323075]
2187  : 2023-01-01, [0.06771150689920793, 2.6877836371787405, 13.994504855922052]
2188  : 2023-01-01, [0.0705967289222512, 2.7201662073306734, 14.209237063747075]
2189  : 2023-01-01, [0.12472894884136812, 2.543069218502803, 14.582201832655826]
2190  : 2023-01-01, [0.12829050645425835, 2.571569472676128, 14.800140020869614]
2191  : 2023-01-01, [0.13286634175713272, 2.596486511282544, 15.020647146960323]
2192  : 2023-01-01, [0.13653604867147096, 2.625027778925085, 15.238436172403443]
2193  : 2023-01-01, [0.14121500053667696, 2.6492313549421183, 15.459553644521206]
2194  : 2023-01-01, [0.1459634590016121, 2.673329931999808, 15.68070660899858]
2195  : 2023-01-01, [0.14976822123814104, 2.7008245040644985, 15.89940727469736]
2196  : 2023-01-01, [0.15461550424644377, 2.724207616040193, 16.121176879713364]
2197  : 2023-01-01, [0.15953011524421545, 2.747243841476603, 16.34322604327918]
2198  : 2023-01-01, [0.3359036668409411, 2.294855382292695, 16.869240950866363]
2199  : 2023-01-01, [0.3427871573912779, 2.3136939801343033, 17.09351886247442]
2200  : 2023-01-01, [0.35066352333561296, 2.3277840351306414, 17.321552441533743]
2201  : 2023-01-01, [0.3576880634857877, 2.345969617571693, 17.54634231894252]
2202  : 2023-01-01, [0.3657353336675542, 2.3590035711315975, 17.775261095200847]
2203  : 2023-01-01, [0.37389301113702017, 2.3722676588486125, 18.00383933001437]
2204  : 2023-01-01, [0.38211671222011434, 2.3843389682642537, 18.23354431951563]
2205  : 2023-01-01, [0.8694975484770984, 3.392212034515717, 16.988290417007185]
2206  : 2023-01-01, [0.8789714971647669, 3.4325998345143596, 17.188428668320874]
2207  : 2023-01-01, [0.8891910495524273, 3.468839454404963, 17.39196949604261]
2208  : 2023-01-01, [0.898608142116615, 3.5086169151112085, 17.592774942772174]
2209  : 2023-01-01, [0.07015494966209751, 3.684103402103894, 18.49574164823401]
2210  : 2023-01-01, [0.07088571880013082, 3.7262100661643793, 18.702904215035492]
2211  : 2023-01-01, [0.07225554048583918, 3.7634623939197773, 18.914282065594385]
2212  : 2023-01-01, [0.07387343571005485, 3.8008419023699322, 19.125284661920013]
2213  : 2023-01-01, [0.07460988520433978, 3.8420791095762934, 19.333311005219365]
2214  : 2023-01-01, [0.07640162037802416, 3.879089285183335, 19.54450909443864]
2215  : 2023-01-01, [0.07830563962579308, 3.916334041887221, 19.755360318486986]
2216  : 2023-01-01, [0.08028994038754231, 3.953308409879964, 19.96640164973249]
2217  : 2023-01-01, [0.08105639880843327, 3.994547130738474, 20.174396470453093]
2218  : 2023-01-01, [0.08311235032991636, 4.031461372926935, 20.38542627674315]
2219  : 2023-01-01, [0.08521650489111306, 4.068559176707168, 20.59622431840172]
2220  : 2023-01-10, [0.034480105714948896, 1.6003737707746513, 8.3651461235104]
2221  : 2023-01-10, [0.10380858487322808, 1.438871424895359, 8.707319990231413]
2222  : 2023-01-10, [0.1085017054629128, 1.466234115442242, 8.925264179094846]
2223  : 2023-01-10, [0.11327759294476546, 1.4932949358295389, 9.143427471225696]
2224  : 2023-01-10, [0.11756464131743283, 1.5222408554161277, 9.36019450326644]
2225  : 2023-01-10, [0.12251278678978676, 1.5487616390225032, 9.578725574187711]
2226  : 2023-01-10, [0.12754311118721054, 1.574785292422346, 9.797671596390442]
2227  : 2023-01-10, [0.13265883800077197, 1.6008083157044612, 10.016532846294767]
2228  : 2023-01-10, [0.13784833230456134, 1.6277384670474384, 10.234413200648]
2229  : 2023-01-10, [0.14318574915166477, 1.6490405583291847, 10.457773692519151]
2230  : 2023-01-10, [0.14855875402262578, 1.6743221041207719, 10.677119141856602]
2231  : 2023-01-10, [0.1533594218030763, 1.7010279966471633, 10.89561258154976]
2232  : 2023-01-10, [0.15889160343965023, 1.7249075597848005, 11.116200836775551]
2233  : 2023-01-10, [0.16450782377507953, 1.748359222701026, 11.337132953523893]
2234  : 2023-01-10, [0.1702049081497749, 1.7715612085920136, 11.558233883258211]
2235  : 2023-01-10, [0.1759865944375334, 1.7942244614199967, 11.779788944142469]
2236  : 2023-01-10, [0.18184631644797813, 1.8164592338177834, 12.001694449734238]
2237  : 2023-01-10, [0.18779164490943115, 1.8383459708100782, 12.22386238428049]
2238  : 2023-01-10, [0.1938182664738871, 1.8598427555345796, 12.446338977991534]
2239  : 2023-01-10, [0.19992595753331385, 1.880947946401353, 12.669126096065334]
