Itinerary: ['earth', 'MARS_BARYCENTER', 'SATURN_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
4320  : 2024-01-01, [0.27599052822585707, 0.6243863811064103, 9.099623090667734]
4321  : 2024-01-01, [0.28463536338191464, 0.6297170094857765, 9.335647627132309]
4322  : 2024-01-01, [0.29415421734867075, 0.6311232072390486, 9.574722575412281]
4323  : 2024-01-01, [0.30303443175028794, 0.6352103109278535, 9.811755257321858]
4324  : 2024-01-01, [0.3120259660623214, 0.6389770024191637, 10.048997031518514]
4325  : 2024-01-01, [0.3219626189236858, 0.6381865680477689, 10.289850813028545]
4326  : 2024-01-01, [0.33118174891734437, 0.6406700666313347, 10.528148184451322]
4327  : 2024-01-01, [0.34141975369764643, 0.638803658149394, 10.76977658815296]
4328  : 2024-01-01, [0.3518262853149082, 0.6360895251732785, 11.012084189511812]
4329  : 2024-01-01, [0.36144625905191646, 0.6367633000161367, 11.251790440931947]
4330  : 2024-01-01, [0.37215643289862127, 0.6326067653365168, 11.495236801764861]
4331  : 2024-01-01, [0.38305702653477025, 0.6280288270269155, 11.738914146438315]
4332  : 2024-01-01, [0.39412062053899427, 0.6226147087917264, 11.98326467066928]
4333  : 2024-01-01, [0.40534850288727153, 0.6167289953611151, 12.227922501751614]
4334  : 2024-01-01, [0.3510834568667987, 2.678767751132059, 10.470148792001142]
4335  : 2024-01-01, [0.4205284352853789, 0.9100409208100907, 12.41943064390453]
4336  : 2024-01-01, [0.3699391828440732, 2.779858097704407, 10.85020271945152]
4337  : 2024-01-01, [0.3801115796473184, 2.8136100890710014, 11.056278331281682]
4338  : 2024-01-01, [0.39150763946791844, 2.8424719212115903, 11.266020439320492]
4339  : 2024-01-01, [0.4031089540419875, 2.8704993295392236, 11.476391716418789]
4340  : 2024-01-01, [0.4825522778701797, 0.9125144006063701, 13.604933321523449]
4341  : 2024-01-01, [0.49548499162255377, 0.9100031839667796, 13.844511824410667]
4342  : 2024-01-01, [0.5086369217893241, 0.9072270631392068, 14.084136015071469]
4343  : 2024-01-01, [0.5234621795569832, 0.8988185281253764, 14.327719292317639]
4344  : 2024-01-01, [0.5385387739062727, 0.8896944556346342, 14.571766770459092]
4345  : 2024-01-01, [0.5524151053743207, 0.8850095859948944, 14.812575308630786]
4346  : 2024-01-01, [0.5680246788721999, 0.8741612904147312, 15.05781403071307]
4347  : 2024-01-01, [0.5855216880777893, 0.8576439729949532, 15.306834338927258]
4348  : 2024-01-01, [0.6017631211526491, 0.8460618536089982, 15.552175025238352]
4349  : 2024-01-01, [0.6182518156103753, 0.8340064747847091, 15.797741709604917]
4350  : 2024-01-01, [0.6366126825892923, 0.818455338111338, 16.04493197929937]
4351  : 2024-01-01, [0.5491303074950445, 3.54973011254382, 13.651139579961136]
4352  : 2024-01-01, [0.5840333135466144, 3.1578414450482475, 14.258125241405137]
4353  : 2024-01-01, [0.6016268997671372, 3.169435854316505, 14.478937245916358]
4354  : 2024-01-01, [0.7063383862370844, 0.8641266839809683, 16.929534929781948]
4355  : 2024-01-01, [0.6084291741357456, 3.7636077535854384, 14.377963072278817]
4356  : 2024-01-01, [0.6256938474133602, 3.791660743672862, 14.582645408913775]
4357  : 2024-01-01, [0.6437183850258225, 3.822069240648556, 14.784212374325621]
4358  : 2024-01-01, [0.6632907590175772, 3.8428470576454314, 14.993862183336992]
4359  : 2024-01-01, [0.6815336128406589, 3.8676213035651688, 15.200845083594174]
4360  : 2024-01-01, [0.7034203720956629, 3.8828468225658823, 15.413732805338453]
4361  : 2024-01-01, [0.7256723362208505, 3.897242423597129, 15.627085240182023]
4362  : 2024-01-01, [0.7464620683223598, 3.915593305655952, 15.837944626021688]
4363  : 2024-01-01, [0.7693525582978353, 3.9297548278705117, 16.050892613831653]
4364  : 2024-01-01, [0.7942463230860071, 3.9385986505421644, 16.267155026371828]
4365  : 2024-01-01, [0.8176502968725972, 3.9512986979822524, 16.48105100514515]
4366  : 2024-01-01, [0.8428612268566439, 3.9574106213297693, 16.699728151813588]
4367  : 2024-01-01, [0.8684268313935778, 3.9640555219388385, 16.917517646667584]
4368  : 2024-01-01, [0.8942244800487923, 3.971093909999511, 17.1346816099517]
4369  : 2024-01-01, [0.9218780946696088, 3.973191513429648, 17.35493039190074]
4370  : 2024-01-01, [0.9475756935614754, 3.9793843764378236, 17.5730399300007]
4371  : 2024-01-01, [0.07693642039005359, 4.145756896242442, 18.527306683367506]
4372  : 2024-01-01, [0.5129063256166295, 2.296653833896856, 20.190439840486516]
4373  : 2024-01-01, [0.5225474477065499, 2.2954818287320546, 20.431970723561395]
4374  : 2024-01-01, [0.658979201822672, 4.449406779807749, 18.39161401836958]
4375  : 2024-01-01, [0.6721641576539908, 4.4703904851439615, 18.607445357202046]
4376  : 2024-01-01, [0.6873813775613572, 4.485533421803837, 18.827085200634805]
4377  : 2024-01-01, [0.8348909411276406, 4.720571822139697, 18.694537236732664]
4378  : 2024-01-01, [0.8511493119091875, 4.749483660634732, 18.899367027456076]
4379  : 2024-01-01, [0.8697323920106399, 4.773363011852635, 19.106904596136726]
4380  : 2024-01-10, [0.2708144079087296, 0.6021443985287406, 9.12704119356253]
4381  : 2024-01-10, [0.27939535847497293, 0.6068746641124152, 9.36372997741261]
4382  : 2024-01-10, [0.28887068081728096, 0.6074857744279505, 9.603643544754767]
4383  : 2024-01-10, [0.29767262357236945, 0.6110979190609704, 9.841229457366659]
4384  : 2024-01-10, [0.30661293347323687, 0.6141069459455101, 10.079280120581252]
4385  : 2024-01-10, [0.31650966487177673, 0.6126807712838991, 10.320809563844325]
4386  : 2024-01-10, [0.32567829521293556, 0.6145730987800248, 10.559748606007037]
4387  : 2024-01-10, [0.33587616255701985, 0.6118903424452731, 10.802233494997706]
4388  : 2024-01-10, [0.3462568579849337, 0.6085718921147687, 11.045171249900298]
4389  : 2024-01-10, [0.3558236758556124, 0.6086561084866307, 11.285520215657757]
4390  : 2024-01-10, [0.3665109064817432, 0.603934441692682, 11.529554651825574]
4391  : 2024-01-10, [0.3773720377152862, 0.5986877087471116, 11.773940253537601]
4392  : 2024-01-10, [0.3874195895932072, 0.6291457563540411, 11.983434654052752]
4393  : 2024-01-10, [0.33552095015865785, 2.6280964604668995, 10.286382589374442]
4394  : 2024-01-10, [0.3441372949553064, 2.692627945440863, 10.46323475960383]
4395  : 2024-01-10, [0.35484205099639204, 2.725731560065021, 10.669426388938588]
4396  : 2024-01-10, [0.3648529830097813, 2.759000503964183, 10.876146513026036]
4397  : 2024-01-10, [0.4372024223907095, 0.8875040688451582, 12.925293508764131]
4398  : 2024-01-10, [0.4494997321800634, 0.8869303593781441, 13.163569908441792]
4399  : 2024-01-10, [0.46195926062368736, 0.8852495579604244, 13.402791181415887]
4400  : 2024-01-10, [0.47466422928690943, 0.8833526858313718, 13.641983084881717]
4401  : 2024-01-10, [0.48894265869598447, 0.8758916114566039, 13.885165729847412]
4402  : 2024-01-10, [0.5020780667580632, 0.872329527586675, 14.125592405655263]
4403  : 2024-01-10, [0.516877727458874, 0.863362012902441, 14.369760259638685]
4404  : 2024-01-10, [0.5304813117517554, 0.8587508951192573, 14.610767793128987]
4405  : 2024-01-10, [0.5457728858948352, 0.848310751111247, 14.855916362993916]
4406  : 2024-01-10, [0.561433696232764, 0.8374819104298915, 15.101084393337343]
4407  : 2024-01-10, [0.5773026715000482, 0.8258942493137833, 15.346803079186168]
4408  : 2024-01-10, [0.5934743062454857, 0.8147515680957395, 15.591774125658775]
4409  : 2024-01-10, [0.61133592202865, 0.803992101875311, 15.834671976096038]
4410  : 2024-01-10, [0.5260807187587839, 3.504521331420069, 13.469397949821147]
4411  : 2024-01-10, [0.5595610212752345, 3.122610781662214, 14.067828197062553]
4412  : 2024-01-10, [0.5767560673621007, 3.1347991682026075, 14.288444764435294]
4413  : 2024-01-10, [0.5673004185853932, 3.6799738347153554, 14.002725746699252]
4414  : 2024-01-10, [0.5836795096294456, 3.7164165755600393, 14.199903914810514]
4415  : 2024-01-10, [0.6024852587031093, 3.722037408998497, 14.425477332298392]
4416  : 2024-01-10, [0.6165612223359196, 3.778246850210588, 14.605191927453491]
4417  : 2024-01-10, [0.6357165994323205, 3.799958415048391, 14.814324985519288]
4418  : 2024-01-10, [0.6551679428830796, 3.8201994001828883, 15.024632656934033]
4419  : 2024-01-10, [0.6732379589790528, 3.8443353382146364, 15.232426702806311]
4420  : 2024-01-10, [0.6950191011211835, 3.859760408145609, 15.445220490733206]
4421  : 2024-01-10, [0.7153372530857417, 3.8784521597251436, 15.656210587189115]
4422  : 2024-01-10, [0.7375838842219282, 3.891524148795476, 15.870891966982596]
4423  : 2024-01-10, [0.7602160140879618, 3.9054238852906598, 16.084360100621378]
4424  : 2024-01-10, [0.7848178740024226, 3.9135647494162313, 16.301617376581348]
4425  : 2024-01-10, [0.8061765995258021, 3.93048851526614, 16.513334885208057]
4426  : 2024-01-10, [0.8312939536154862, 3.9385281254887046, 16.73017792089581]
4427  : 2024-01-10, [0.8566059413823742, 3.945889784893311, 16.947504273724313]
4428  : 2024-01-10, [0.8820445331198328, 3.9524021945876613, 17.165553272292506]
4429  : 2024-01-10, [0.9078437295118703, 3.9605849175042884, 17.38157135298384]
4430  : 2024-01-10, [0.9335340210927697, 3.966714890557664, 17.599751088349564]
4431  : 2024-01-10, [0.9591088874586979, 3.9715032319939825, 17.81938788054732]
4432  : 2024-01-10, [0.9854741101200816, 3.9721331109461486, 18.04239277893377]
4433  : 2024-01-10, [0.0842397453147625, 4.141473484224378, 19.02428677046086]
4434  : 2024-01-10, [0.5144626787813341, 2.2693765611916232, 20.716160760027044]
4435  : 2024-01-10, [0.5245084492345131, 2.2669572089104255, 20.95853434185506]
4436  : 2024-01-10, [0.6668565263121807, 4.4874686962148, 18.84567477747302]
4437  : 2024-01-10, [0.6801787068496701, 4.506484306500728, 19.063336986649603]
4438  : 2024-01-10, [0.6936122296699867, 4.5249147507071905, 19.28147301962282]
4439  : 2024-01-10, [0.8510468731589681, 4.766679810198855, 19.132273316642177]
4440  : 2024-01-20, [0.26538784699037626, 0.5764704427641374, 9.158141710245486]
4441  : 2024-01-20, [0.2738883292303201, 0.5803216253664834, 9.395790045403196]
4442  : 2024-01-20, [0.2833240354719536, 0.5802202647714092, 9.636455699756638]
4443  : 2024-01-20, [0.2920730438969295, 0.5829940169685658, 9.874932939134505]
4444  : 2024-01-20, [0.30093505361568607, 0.5852761870933622, 10.113788759290951]
4445  : 2024-01-20, [0.3108085914146678, 0.5831643835809294, 10.356027025004403]
4446  : 2024-01-20, [0.31991915035218466, 0.5843751690221398, 10.595705680625676]
4447  : 2024-01-20, [0.33008341539135133, 0.5810049431176915, 10.838911641490958]
4448  : 2024-01-20, [0.3394407150572446, 0.5809867655242741, 11.07957251941848]
4449  : 2024-01-20, [0.3499435096794502, 0.5764154465601014, 11.323641043760446]
4450  : 2024-01-20, [0.3024635237141778, 2.502815061859009, 9.694721414426812]
