Itinerary: ['earth', 'mars', 'venus', 'jupiter', 'pluto']
case #: launch date, tof of each leg
4320  : 2024-01-01, [0.4014527650825299, 0.2525535625238881, 1.3424015795150377, 8.003592092878543]
4321  : 2024-01-01, [0.41924977643334055, 0.25456889020437906, 1.348514000175535, 8.227667333186746]
4322  : 2024-01-01, [0.4379619264748853, 0.2544243313227261, 1.347635939696846, 8.459977802505541]
4323  : 2024-01-01, [0.4586925326143224, 0.24786942896652814, 1.3314708056596474, 8.711967232759502]
4324  : 2024-01-01, [0.48005711669256584, 0.24580776119230976, 1.3202321793379628, 8.953902942777162]
4325  : 2024-01-01, [0.5026332236960673, 0.24411472842727017, 1.3099694876128336, 9.19328256026383]
4326  : 2024-01-01, [0.524636835310456, 0.24353201498783067, 1.2974666399916694, 9.434364509710043]
4327  : 2024-01-01, [0.5483724198541021, 0.2411413685820752, 1.2736480787842512, 9.686838132779572]
4328  : 2024-01-01, [0.5749358111549567, 0.23985062849534008, 1.2444312053507007, 9.940782354999001]
4329  : 2024-01-01, [0.6014417768337829, 0.24114226952884926, 1.2215695455488176, 10.18584640808855]
4330  : 2024-01-01, [0.6286621665282799, 0.23883552511135842, 1.191146176482346, 10.441356131878015]
4331  : 2024-01-01, [0.65937669158828, 0.23557932536111323, 1.147923445149355, 10.70712053790125]
4332  : 2024-01-01, [0.6893834719563098, 0.23701959435295622, 1.104087209165885, 10.96950972452485]
4333  : 2024-01-01, [0.723188767482062, 0.23093421375625756, 1.0550413180275784, 11.240835700734102]
4334  : 2024-01-01, [0.7553844628968368, 0.2361796721732937, 1.007844918403071, 11.500590946526799]
4335  : 2024-01-01, [0.7901574170864276, 0.22929341500790248, 0.9470740195290429, 11.783475148376626]
4336  : 2024-01-01, [0.854356308447177, 0.14864233413666791, 0.7332085195120726, 12.263792837904084]
4337  : 2024-01-01, [0.8952707348397417, 0.11883515436604823, 0.6224062876259291, 12.613487823168283]
4338  : 2024-01-01, [0.8885883515415071, 0.83861999922185, 0.48717140224347427, 12.285620246993169]
4339  : 2024-01-01, [1.0016879067803803, 0.2813829290541256, 1.5910458466932318, 11.875883317472264]
4340  : 2024-01-01, [0.49214341785582755, 0.10129842218333289, 1.924128688292021, 12.48242947166882]
4341  : 2024-01-01, [0.48862542661227293, 0.8382406313352676, 1.7622719341530464, 12.160862007899414]
4342  : 2024-01-01, [0.5084770636557917, 0.830903374775059, 1.6978017572971595, 12.46281780427199]
4343  : 2024-01-01, [0.9381365346224252, 0.9115635899716499, 1.0012048005027478, 12.899095074903176]
4344  : 2024-01-01, [0.7541146276058849, 0.35102409762290004, 2.025384157353695, 12.869477117417519]
4345  : 2024-01-01, [0.7806333730367754, 0.3430772483911536, 1.973194938862044, 13.153094439710026]
4346  : 2024-01-01, [0.8700408937618678, 0.6909291712824938, 2.8860066265352446, 12.053023308420395]
4347  : 2024-01-01, [0.8976891362974828, 0.6871439898939298, 2.873294981061175, 12.29187189274741]
4348  : 2024-01-01, [0.18676347390720438, 0.5326937157742515, 1.6760722184137522, 14.60447059190479]
4349  : 2024-01-01, [0.1690469399240823, 0.5806807533605765, 1.8307909193422645, 14.669481387373075]
4350  : 2024-01-01, [0.19501107675711724, 0.5033644531657859, 1.6143545479326258, 15.187269922144473]
4351  : 2024-01-01, [0.18858726040544055, 1.3503935812302876, 1.2537289255078636, 14.957290232856408]
4352  : 2024-01-01, [0.21690180351294894, 1.2899881888475009, 0.9423754629183188, 15.550734544721232]
4353  : 2024-01-01, [0.2081839449460822, 1.039949974993356, 3.4577148401343667, 13.544151239926196]
4354  : 2024-01-01, [0.18883766385436107, 1.0416301296265744, 3.5068213622378885, 13.762710844281175]
4355  : 2024-01-01, [0.6548532949426589, 0.8618904319028653, 1.8783154599569336, 15.354940813197544]
4356  : 2024-01-01, [0.6533140271145912, 0.10865860609586425, 2.181530282016918, 16.05649708477263]
4357  : 2024-01-01, [0.6515528513021892, 0.9820432741695669, 1.9240070771486346, 15.692396797379608]
4358  : 2024-01-01, [0.6878650209930766, 0.9320667479411077, 1.7360479968350766, 16.144020234230737]
4359  : 2024-01-01, [0.7293638145324965, 0.856033107255951, 1.471250261993319, 16.693352816218233]
4360  : 2024-01-01, [1.1382245206506045, 1.1887528505525997, 1.510675301749988, 16.16234732704681]
4361  : 2024-01-01, [1.1808969170526935, 1.1510104354852742, 1.3395254149242053, 16.578567232537825]
4362  : 2024-01-01, [1.2303207886209226, 1.0721981241405747, 1.0902819043434426, 17.107199182895062]
4363  : 2024-01-01, [1.1456261498583231, 0.3821827702870242, 2.035701752522257, 17.186489327332392]
4364  : 2024-01-01, [1.1949798608010413, 0.2862728629408608, 1.8286527322015051, 17.690094544056596]
4365  : 2024-01-01, [1.2464575321956568, 0.13490487306351664, 1.515124046018268, 18.353513548722557]
4366  : 2024-01-01, [1.2257611799724393, 1.1328808289087646, 1.1508602469755607, 17.990497744143237]
4367  : 2024-01-01, [1.1754585438753953, 0.9195273448505213, 3.693399408397587, 15.961614702876501]
4368  : 2024-01-01, [0.25045050945227304, 1.6919413895775794, 1.7390194321923846, 18.31858866877776]
4369  : 2024-01-01, [0.3242778358198538, 0.43250676999199006, 1.512303267616313, 19.980912126571845]
4370  : 2024-01-01, [0.29169259462468466, 0.38695523027918977, 1.5051750906051125, 20.316177084491013]
4371  : 2024-01-01, [0.2894107071286957, 0.6189098096043896, 2.1997177322549777, 19.641961751011937]
4372  : 2024-01-01, [0.3260451947184327, 0.5449911669563965, 1.94415526021176, 20.18480837811341]
4373  : 2024-01-01, [0.343255103403248, 0.44287391132494847, 1.5539093270880224, 20.90996165818378]
4374  : 2024-01-01, [0.8076549801942093, 0.451844613772078, 3.888288327889725, 18.35221207814399]
4375  : 2024-01-01, [0.8558125288349344, 0.7067674959880248, 0.8979596442154322, 21.28946033096161]
4376  : 2024-01-01, [1.0179059778077337, 0.27794911487859836, 4.765229629067189, 17.93891527824648]
4377  : 2024-01-01, [1.013919135061375, 1.0184234295218018, 2.3972565632184564, 19.820400872198366]
4378  : 2024-01-01, [0.9526484837674599, 0.32837901375071826, 3.9983235418470957, 19.220648960634723]
4379  : 2024-01-01, [0.91750148386976, 0.5418283315132434, 4.317974921159062, 18.972695263457936]
4380  : 2024-01-10, [0.3959416910898566, 0.248793740959128, 1.3139259495660642, 8.041338618384952]
4381  : 2024-01-10, [0.4137767555710637, 0.24860948712123196, 1.318130760859144, 8.269482996448561]
4382  : 2024-01-10, [0.43190088039775565, 0.2502945902554447, 1.3197015823439826, 8.498102947002819]
4383  : 2024-01-10, [0.45302780573244134, 0.24390462244088307, 1.2983628488242007, 8.754704723002474]
4384  : 2024-01-10, [0.4737428143048067, 0.2438364008965505, 1.2898371731527842, 8.992583611645859]
4385  : 2024-01-10, [0.4954867662831002, 0.2412829711389558, 1.2741773416038744, 9.23905292097407]
4386  : 2024-01-10, [0.5187466587117753, 0.23923819192803059, 1.2608649757544814, 9.481150173605712]
4387  : 2024-01-10, [0.5419860746955039, 0.23909338203676844, 1.2423414942504774, 9.72657904901725]
4388  : 2024-01-10, [0.5668564880729086, 0.23911071782689966, 1.211093922484198, 9.982938871615993]
4389  : 2024-01-10, [0.5942292454232909, 0.23804271067209037, 1.1854319997007965, 10.23229604420382]
4390  : 2024-01-10, [0.6216435322247711, 0.23908673289596918, 1.1566249599860297, 10.482644774893231]
4391  : 2024-01-10, [0.6497724981895712, 0.23701371445786754, 1.1249966817687524, 10.738217105583809]
4392  : 2024-01-10, [0.6793739067369862, 0.23832799519739015, 1.080655232909614, 11.00164286515601]
4393  : 2024-01-10, [0.71102186833275, 0.2374714551735848, 1.0326445035126015, 11.268862172981061]
4394  : 2024-01-10, [0.7434040979139578, 0.23305193819060602, 0.9843639448879736, 11.539180019007464]
4395  : 2024-01-10, [0.7995552911994686, 0.1699489703451233, 0.9555793289758805, 11.824916409479528]
4396  : 2024-01-10, [0.8419144131880786, 0.14473791919312207, 0.7111364656133927, 12.302211202005408]
4397  : 2024-01-10, [0.8800880315408514, 0.1211315199399914, 0.6140155200606948, 12.634764928458463]
4398  : 2024-01-10, [0.8730174611344176, 0.8404010622275218, 0.4739826098243964, 12.312598866813664]
4399  : 2024-01-10, [1.0238871060805579, 0.33189840268318155, 1.5524058403677172, 11.841808650868545]
4400  : 2024-01-10, [0.08895142938857363, 0.7171368984334883, 2.1670130358369155, 12.026898636341022]
4401  : 2024-01-10, [0.4937975725352284, 0.08870307228224035, 1.8335382023398643, 12.833961152842667]
4402  : 2024-01-10, [0.48886098460648086, 0.8419796545953351, 1.6888276245711038, 12.48033173622708]
4403  : 2024-01-10, [0.5099163585830093, 0.8296259355908772, 1.6116075009476323, 12.79885020487848]
4404  : 2024-01-10, [0.7327997583744363, 0.36783720794475355, 2.0403300245142524, 12.85903300916656]
4405  : 2024-01-10, [0.7581821453918928, 0.3599609890778156, 1.995847376345977, 13.136009489184314]
4406  : 2024-01-10, [0.7824765711128294, 0.3501006869008364, 1.9390760267581277, 13.428346715228207]
4407  : 2024-01-10, [0.9062539692480945, 0.7246448722016802, 2.847014868562155, 12.272086289988072]
4408  : 2024-01-10, [0.9409255643663639, 0.7062266332444008, 2.7974650568635595, 12.555382745525677]
4409  : 2024-01-10, [0.14477532766001214, 0.6167607066055112, 1.876417475254339, 14.61204649048014]
4410  : 2024-01-10, [0.16617944741366755, 0.5280769183955156, 1.656244927621611, 15.149498706569206]
4411  : 2024-01-10, [0.18590138538881712, 0.45690151579157934, 1.4604504931057216, 15.646746605713883]
4412  : 2024-01-10, [0.21069297387153985, 0.3818485652919857, 1.2583635925719363, 16.14909486826454]
4413  : 2024-01-10, [0.20846000752639907, 1.3140939536817504, 0.8989383593156274, 15.828507679476223]
4414  : 2024-01-10, [0.20030381794015314, 1.0268089949014272, 3.3865976903902184, 13.8862894967682]
4415  : 2024-01-10, [0.5889415661458354, 0.22044505072636908, 2.4524787954756238, 15.488134587652175]
4416  : 2024-01-10, [0.6101350987494771, 0.1844730965696738, 2.359941453945838, 15.84545035073501]
4417  : 2024-01-10, [0.6281727207989005, 0.14949837638726735, 2.2591404561308344, 16.213188446683]
4418  : 2024-01-10, [0.6553242273446139, 0.1107279531067731, 2.135949122142885, 16.59799869740573]
4419  : 2024-01-10, [0.655080810857822, 0.9908465146690879, 1.866286648392456, 16.237786026080634]
4420  : 2024-01-10, [0.7022427968762576, 0.9006699529427167, 1.5622955238779184, 16.834791726303106]
4421  : 2024-01-10, [0.7496184225542936, 0.8107430382314477, 1.2404132251567217, 17.449225314057536]
4422  : 2024-01-10, [0.8268057935641113, 0.21357987865535327, 3.2262365957244454, 16.23337773205609]
4423  : 2024-01-10, [1.131587814459482, 1.1510836160466955, 1.2838282238609153, 17.183500345632908]
4424  : 2024-01-10, [1.2542088231861424, 1.1242097225476735, 1.0632648218918819, 17.558316632374304]
4425  : 2024-01-10, [1.3031716599461942, 1.0853535034452293, 0.8836882141409056, 17.977786622467672]
4426  : 2024-01-10, [1.1617873113527855, 0.8747676675280569, 3.5475456608342233, 15.915899360284937]
4427  : 2024-01-10, [1.202612209378645, 0.84782492943272, 3.456018226757785, 16.24354463443085]
4428  : 2024-01-10, [1.2833116543996408, 0.23915266711028138, 1.5836894823762298, 18.89384619611385]
4429  : 2024-01-10, [1.2736216485723832, 1.2495950690528, 1.1954487750216198, 18.531334507353197]
4430  : 2024-01-10, [0.28859264509341404, 0.25493317726664194, 2.0167009329706453, 19.9397732446693]
4431  : 2024-01-10, [0.25197666290006954, 1.2852768954871812, 4.595277609418061, 16.617468832194685]
4432  : 2024-01-10, [0.29774375934122693, 1.0279788701803216, 4.052668833600971, 17.62160853687748]
4433  : 2024-01-10, [0.2697947970939975, 0.9846864658009428, 3.9645222857822815, 18.03099645132278]
4434  : 2024-01-10, [0.505097900862151, 1.420637760711158, 3.8198358912356793, 17.754428447191014]
4435  : 2024-01-10, [0.5258827477072023, 1.431058713269751, 3.790583701520798, 18.002474837502252]
4436  : 2024-01-10, [0.571583702324717, 0.19721686649611103, 4.547327744330003, 18.68387168684917]
4437  : 2024-01-10, [0.6160219134059886, 0.47132297806736917, 1.4977417996860214, 21.66491330884062]
4438  : 2024-01-10, [0.6595054009853065, 0.4686388845839969, 1.2736172588456443, 22.09823845558505]
4439  : 2024-01-10, [0.6509755124590957, 1.2984255884524232, 3.5765271026946235, 19.224071796393858]
4440  : 2024-01-20, [0.38993097677684624, 0.2437921556392911, 1.2829262292994508, 8.083350638284413]
