Itinerary: ['earth', 'mars', 'venus', 'pluto']
case #: launch date, tof of each leg
2160  : 2023-01-01, [0.22056252478506339, 0.293103948423063, 9.486333526791872]
2161  : 2023-01-01, [0.6647623626974675, 0.13510467516546967, 9.450132962137063]
2162  : 2023-01-01, [0.0843366839570797, 0.7836633487904475, 9.631999967252474]
2163  : 2023-01-01, [0.06112427524802661, 0.1021125737095054, 10.586763151042469]
2164  : 2023-01-01, [0.7742922969428705, 0.10131504249500878, 10.12439266056212]
2165  : 2023-01-01, [0.06582696489223828, 0.7897126328501668, 10.394460402257595]
2166  : 2023-01-01, [0.08871251910356627, 0.8404298703340591, 10.570857610562374]
2167  : 2023-01-01, [0.1638413318253782, 0.9675101348419288, 10.618648533332692]
2168  : 2023-01-01, [0.1471375322571552, 0.9627789329125502, 10.890083534830294]
2169  : 2023-01-01, [0.1253757539092887, 0.9267739431291809, 11.197850302961529]
2170  : 2023-01-01, [0.12984559562923395, 0.9612392025374161, 11.408915201833352]
2171  : 2023-01-01, [0.18207958748241707, 1.0609125155657342, 11.507007896951848]
2172  : 2023-01-01, [0.08557665793037154, 0.3271734846929565, 12.587249857376673]
2173  : 2023-01-01, [0.1810520407711145, 1.0822887695991068, 11.986659189629778]
2174  : 2023-01-01, [0.11179617110828621, 0.9973450441971601, 12.390858784694554]
2175  : 2023-01-01, [0.13686706054043463, 1.0240543459821223, 12.589078593477444]
2176  : 2023-01-01, [0.20153322787030714, 1.1674245057578774, 12.631042266371814]
2177  : 2023-01-01, [0.2674338104340324, 1.2617190218075949, 12.720847167758373]
2178  : 2023-01-01, [0.1240310358239346, 1.0658501649799461, 13.31011879919612]
2179  : 2023-01-01, [0.14550410178073875, 0.2342654602054908, 14.37023043801377]
2180  : 2023-01-01, [0.09372534713247645, 0.3425063608425238, 14.563768292025]
2181  : 2023-01-01, [0.12395672260675819, 0.38792814890049365, 14.73811512849275]
2182  : 2023-01-01, [0.19909684536638178, 1.1723303212190004, 14.12857283341462]
2183  : 2023-01-01, [0.34995292938414213, 1.4269193819156354, 13.973127688700224]
2184  : 2023-01-01, [0.11569672340628392, 0.29890999291062087, 15.585393283683095]
2185  : 2023-01-01, [0.17517503696189576, 1.1932330856254543, 14.881591877412648]
2186  : 2023-01-01, [0.16973047106774294, 1.2037605220881158, 15.12650900684414]
2187  : 2023-01-01, [0.3528285222893097, 1.4094853797879483, 14.98768609792274]
2188  : 2023-01-01, [0.18141287455487487, 0.15051426380504634, 16.66807286164008]
2189  : 2023-01-01, [0.12124028778380139, 0.4210851579237897, 16.70767455429241]
2190  : 2023-01-01, [0.24129285028667036, 1.3184522277527344, 15.940254921960596]
2191  : 2023-01-01, [0.12416349556054516, 0.3956282138891404, 17.230208290550316]
2192  : 2023-01-01, [0.3469926507436792, 1.4782531144464202, 16.1747542348099]
2193  : 2023-01-01, [0.31634162076344524, 1.5050558272527423, 16.428602551983815]
2194  : 2023-01-01, [0.4236244446206605, 1.5845626909254242, 16.491812864453916]
2195  : 2023-01-01, [0.35013069196169505, 1.5694863309025582, 16.830382977135745]
2196  : 2023-01-01, [0.42277364195043604, 1.5404087489633522, 17.036817609086214]
2197  : 2023-01-01, [0.4299367251619074, 1.67404803912521, 17.14601523571288]
2198  : 2023-01-01, [0.49936587099044805, 0.20067189884237852, 18.799962230167175]
2199  : 2023-01-01, [0.20922083169817113, 0.4795206250318819, 19.061258543269947]
2200  : 2023-01-01, [0.3745786798815353, 1.6425533128074137, 17.98286800731105]
2201  : 2023-01-01, [0.7701295942743188, 0.8463411887188468, 18.633529217006835]
2202  : 2023-01-01, [0.22391314385244757, 0.47451302098949194, 19.801573835158063]
2203  : 2023-01-01, [0.8954018136588895, 0.8552281550075397, 18.999370031333573]
2204  : 2023-01-01, [0.4139437877434405, 0.5969849841504854, 19.989071228106074]
2205  : 2023-01-01, [0.3550296881203621, 1.6065185892617149, 19.28845172261792]
2206  : 2023-01-01, [0.7675661630483308, 0.6700971502810104, 20.062336686670662]
2207  : 2023-01-01, [0.4235859161815526, 0.6203971907861978, 20.70601689303225]
2208  : 2023-01-01, [0.4196113914776615, 1.78731492548511, 19.79307368303723]
2209  : 2023-01-01, [0.40085971654801367, 0.6184343215683272, 21.230705961883658]
2210  : 2023-01-01, [0.21795363009484994, 0.4804205953378878, 21.801625774567263]
2211  : 2023-01-01, [0.6320100556554736, 2.0008056473639235, 20.117184296980604]
2212  : 2023-01-01, [0.41026987777956375, 0.2673284408006165, 22.32240168141982]
2213  : 2023-01-01, [1.0430238217199148, 0.8919475285178186, 21.315028649762265]
2214  : 2023-01-01, [0.6013064329625606, 1.950075401412262, 20.948618165625177]
2215  : 2023-01-01, [0.180076629534721, 0.5306797794252276, 23.039243591040055]
2216  : 2023-01-01, [0.8443224528263787, 0.5205235345065016, 22.63515401266712]
2217  : 2023-01-01, [0.7159035401974262, 0.721714048870774, 22.8123824109318]
2218  : 2023-01-01, [0.5567285156543571, 1.943295778419668, 21.999975705925976]
2219  : 2023-01-01, [0.5391888018149485, 1.950919849680639, 22.259891348504414]
2220  : 2023-01-10, [0.23789852186279262, 1.0137925733226842, 8.748308904814524]
2221  : 2023-01-10, [0.8162309538328448, 0.7051970489809448, 8.72857199718621]
2222  : 2023-01-10, [0.17331317978259006, 0.3076597441009387, 10.019027076116473]
2223  : 2023-01-10, [0.2132825328639871, 1.0396121777431693, 9.497105289392843]
2224  : 2023-01-10, [0.16990448629515598, 0.31875146832842244, 10.511344045376422]
2225  : 2023-01-10, [0.2718546806663125, 0.3011824623124306, 10.676962857021255]
2226  : 2023-01-10, [0.2771192597926615, 0.4585419119431994, 10.764338828264139]
