Itinerary: ['earth', 'saturn', 'pluto']
case #: launch date, tof of each leg
15120 : 2029-01-01, [2.124072686090744, 7.875927313909257]
15121 : 2029-01-01, [2.1791961074365984, 8.070803892563402]
15122 : 2029-01-01, [2.2344388584520845, 8.265561141547916]
15123 : 2029-01-01, [2.2898041457537532, 8.460195854246248]
15124 : 2029-01-01, [2.3455915221006687, 8.65440847789933]
15125 : 2029-01-01, [2.4012129383886536, 8.848787061611345]
15126 : 2029-01-01, [2.456961948729525, 9.043038051270475]
15127 : 2029-01-01, [2.513162339349587, 9.236837660650414]
15128 : 2029-01-01, [2.5691798541277353, 9.430820145872264]
15129 : 2029-01-01, [2.6257253639187197, 9.62427463608128]
15130 : 2029-01-01, [2.682020477233748, 9.817979522766253]
15131 : 2029-01-01, [2.738806921605321, 10.01119307839468]
15132 : 2029-01-01, [2.795808971274532, 10.204191028725466]
15133 : 2029-01-01, [2.852971670362326, 10.397028329637674]
15134 : 2029-01-01, [2.9102341862089927, 10.589765813791008]
15135 : 2029-01-01, [2.967722221538014, 10.782277778461985]
15136 : 2029-01-01, [3.025378246001015, 10.974621753998987]
15137 : 2029-01-01, [3.0832048002790295, 11.16679519972097]
15138 : 2029-01-01, [3.1412038682155226, 11.358796131784477]
15139 : 2029-01-01, [3.199308102678186, 11.550691897321814]
15140 : 2029-01-01, [3.2581586084820295, 11.74184139151797]
15141 : 2029-01-01, [3.3167008241019404, 11.93329917589806]
15142 : 2029-01-01, [3.375871561806715, 12.124128438193285]
15143 : 2029-01-01, [3.43479018430618, 12.315209815693821]
15144 : 2029-01-01, [3.4944378205047824, 12.505562179495218]
15145 : 2029-01-01, [3.5542958322933567, 12.695704167706644]
15146 : 2029-01-01, [3.6142902212643673, 12.885709778735633]
15147 : 2029-01-01, [3.674577049007576, 13.075422950992426]
15148 : 2029-01-01, [3.735083650239364, 13.264916349760634]
15149 : 2029-01-01, [3.795809651887921, 13.45419034811208]
15150 : 2029-01-01, [3.856757608058002, 13.643242391941998]
15151 : 2029-01-01, [3.918462832009104, 13.831537167990895]
15152 : 2029-01-01, [3.979871599887264, 14.020128400112734]
15153 : 2029-01-01, [4.042137431024317, 14.207862568975681]
15154 : 2029-01-01, [4.1040079180990094, 14.39599208190099]
15155 : 2029-01-01, [4.166756244517661, 14.58324375548234]
15156 : 2029-01-01, [4.229658094158232, 14.770341905841768]
15157 : 2029-01-01, [4.292871263590287, 14.957128736409715]
15158 : 2029-01-01, [4.356872536971614, 15.143127463028387]
15159 : 2029-01-01, [4.420362172855507, 15.329637827144493]
15160 : 2029-01-01, [4.4832514647898885, 15.516748535210112]
15161 : 2029-01-01, [4.5405261128100465, 15.709473887189953]
15162 : 2029-01-01, [1.1491420742692293, 19.350857925730768]
15163 : 2029-01-01, [3.8610278237227575, 16.888972176277242]
15164 : 2029-01-01, [3.905665391264888, 17.094334608735114]
15165 : 2029-01-01, [4.5789668834667205, 16.67103311653328]
15166 : 2029-01-01, [4.636038362637244, 16.863961637362756]
15167 : 2029-01-01, [4.693308550748042, 17.05669144925196]
15168 : 2029-01-01, [1.25748124301353, 20.74251875698647]
15169 : 2029-01-01, [1.281275585888964, 20.96872441411104]
15170 : 2029-01-01, [1.3065464925413168, 21.19345350745868]
15171 : 2029-01-01, [1.331498086112922, 21.418501913887077]
15172 : 2029-01-01, [1.3567074627906375, 21.643292537209362]
15173 : 2029-01-01, [1.3821700679845983, 21.8678299320154]
15174 : 2029-01-01, [1.407883117620815, 22.092116882379184]
15175 : 2029-01-01, [1.4344820124296198, 22.315517987570377]
15176 : 2029-01-01, [1.4607040135333806, 22.53929598646662]
15177 : 2029-01-01, [1.4871745441988355, 22.762825455801163]
15178 : 2029-01-01, [1.5132002845189707, 22.98679971548103]
15179 : 2029-01-01, [4.5656415754251105, 20.18435842457489]
15180 : 2029-01-10, [2.085408765679359, 7.914591234320642]
15181 : 2029-01-10, [2.139280484452821, 8.11071951554718]
15182 : 2029-01-10, [2.1935873651619073, 8.306412634838093]
15183 : 2029-01-10, [2.2479668560507178, 8.502033143949282]
15184 : 2029-01-10, [2.3025203319294625, 8.697479668070537]
15185 : 2029-01-10, [2.357200898294156, 8.892799101705844]
15186 : 2029-01-10, [2.4119565520215054, 9.088043447978494]
15187 : 2029-01-10, [2.4668941504783737, 9.283105849521625]
15188 : 2029-01-10, [2.5219650745591715, 9.478034925440829]
15189 : 2029-01-10, [2.5771709058675376, 9.672829094132462]
15190 : 2029-01-10, [2.6325121597365326, 9.867487840263466]
15191 : 2029-01-10, [2.688343687415334, 10.061656312584667]
15192 : 2029-01-10, [2.743972630074127, 10.256027369925874]
15193 : 2029-01-10, [2.799744045446451, 10.45025595455355]
15194 : 2029-01-10, [2.8560353834843815, 10.643964616515618]
15195 : 2029-01-10, [2.9121693287158013, 10.837830671284198]
15196 : 2029-01-10, [2.9687852895905835, 11.031214710409417]
15197 : 2029-01-10, [3.0256337595998546, 11.224366240400144]
15198 : 2029-01-10, [3.0821777935583006, 11.417822206441699]
15199 : 2029-01-10, [3.1393664066403177, 11.610633593359683]
15200 : 2029-01-10, [3.1966657513355585, 11.803334248664441]
15201 : 2029-01-10, [3.254212574420167, 11.995787425579834]
15202 : 2029-01-10, [3.311943078521132, 12.188056921478868]
15203 : 2029-01-10, [3.3698617481966147, 12.380138251803384]
15204 : 2029-01-10, [3.4284320469294083, 12.571567953070593]
15205 : 2029-01-10, [3.486738905761055, 12.763261094238947]
15206 : 2029-01-10, [3.545723166122329, 12.95427683387767]
15207 : 2029-01-10, [3.6044309154421152, 13.145569084557884]
15208 : 2029-01-10, [3.6639138665776283, 13.336086133422372]
15209 : 2029-01-10, [3.7230328807901176, 13.526967119209884]
15210 : 2029-01-10, [3.782953121449337, 13.717046878550661]
15211 : 2029-01-10, [3.8430195219936887, 13.906980478006313]
15212 : 2029-01-10, [3.903392546306191, 14.096607453693808]
15213 : 2029-01-10, [3.9639973559797355, 14.286002644020263]
15214 : 2029-01-10, [4.025389071296775, 14.474610928703223]
15215 : 2029-01-10, [4.086466139740541, 14.66353386025946]
15216 : 2029-01-10, [4.147779600301184, 14.852220399698815]
15217 : 2029-01-10, [4.209999694717098, 15.0400003052829]
15218 : 2029-01-10, [4.272390601459087, 15.227609398540913]
15219 : 2029-01-10, [4.335127443670876, 15.414872556329126]
15220 : 2029-01-10, [4.398128177930222, 15.601871822069779]
15221 : 2029-01-10, [4.461391452668813, 15.788608547331188]
15222 : 2029-01-10, [4.524916684318653, 15.975083315681347]
15223 : 2029-01-10, [4.58870854899618, 16.16129145100382]
15224 : 2029-01-10, [4.653424308093165, 16.346575691906835]
15225 : 2029-01-10, [4.717759792281367, 16.532240207718633]
15226 : 2029-01-10, [4.783132646360421, 16.71686735363958]
15227 : 2029-01-10, [4.8487985617460705, 16.90120143825393]
15228 : 2029-01-10, [4.914661368612503, 17.085338631387497]
15229 : 2029-01-10, [4.981613207006005, 17.268386792993997]
15230 : 2029-01-10, [5.048251674696333, 17.45174832530367]
15231 : 2029-01-10, [5.1150223760662366, 17.63497762393376]
15232 : 2029-01-10, [5.177942237525874, 17.822057762474124]
15233 : 2029-01-10, [5.2216354405782415, 18.028364559421757]
15234 : 2029-01-10, [1.3210749187227795, 22.17892508127722]
15235 : 2029-01-10, [4.2926824972249875, 19.457317502775012]
15236 : 2029-01-10, [4.336655684354334, 19.663344315645663]
15237 : 2029-01-10, [4.3807128148306, 19.8692871851694]
15238 : 2029-01-10, [5.221255576490801, 19.2787444235092]
15239 : 2029-01-10, [5.278791883242813, 19.471208116757186]
15240 : 2029-01-20, [2.0419580055520963, 7.958041994447903]
15241 : 2029-01-20, [2.0947862405382858, 8.155213759461715]
15242 : 2029-01-20, [2.147719516399956, 8.352280483600044]
15243 : 2029-01-20, [2.2010496644966806, 8.548950335503319]
15244 : 2029-01-20, [2.2542081301863246, 8.745791869813676]
15245 : 2029-01-20, [2.3078314576782426, 8.942168542321758]
15246 : 2029-01-20, [2.361220763208071, 9.13877923679193]
15247 : 2029-01-20, [2.4150442628596607, 9.334955737140339]
