Itinerary: ['earth', 'venus', 'earth', 'pluto']
case #: launch date, tof of each leg
15120 : 2029-01-01, [0.12024684788967298, 0.0269009046756575, 9.85285224743467]
15121 : 2029-01-01, [0.05758048301194435, 0.2751488824467641, 9.91727063454129]
15122 : 2029-01-01, [0.9616527623207657, 0.5156950598032158, 9.022652177876019]
15123 : 2029-01-01, [0.2519771755943387, 0.3893275777787198, 10.10869524662694]
15124 : 2029-01-01, [0.27853271178022093, 0.4002029144696328, 10.321264373750145]
15125 : 2029-01-01, [0.287792735616883, 0.4208706326590382, 10.541336631724079]
15126 : 2029-01-01, [0.30102751255557186, 0.44654579548545337, 10.752426691958975]
15127 : 2029-01-01, [0.3169128527948073, 0.4826074962179798, 10.950479650987212]
15128 : 2029-01-01, [0.3978173648836235, 0.2768436380923616, 11.325338997024016]
15129 : 2029-01-01, [0.40622241052105373, 0.2876322852047773, 11.55614530427417]
15130 : 2029-01-01, [0.41288200584086165, 0.2995640886638739, 11.787553905495265]
15131 : 2029-01-01, [0.42144312326752703, 0.312872662586802, 12.01568421414567]
15132 : 2029-01-01, [0.4310512369914836, 0.3286384029617682, 12.240310360046749]
15133 : 2029-01-01, [0.4408494313734634, 0.34711580961528854, 12.462034759011248]
15134 : 2029-01-01, [0.4519024745321476, 0.3709965684160981, 12.677100957051753]
15135 : 2029-01-01, [0.46561843246090956, 0.401581858741083, 12.882799708798009]
15136 : 2029-01-01, [0.48737556441611835, 0.45217962465888323, 13.060444810924997]
15137 : 2029-01-01, [0.5143177604525293, 0.5274760808639289, 13.208206158683542]
15138 : 2029-01-01, [0.5809442906362794, 0.6999084490885285, 13.219147260275193]
15139 : 2029-01-01, [0.9091234360141217, 0.2731516194248865, 13.567724944560991]
15140 : 2029-01-01, [1.111458528087116, 0.5035274592224546, 13.38501401269043]
15141 : 2029-01-01, [1.2360987358651023, 0.6275290992192847, 13.386372164915613]
15142 : 2029-01-01, [0.14239823013708347, 0.23825720149619597, 15.11934456836672]
15143 : 2029-01-01, [0.035120472311303434, 0.3778870955840928, 15.336992432104603]
15144 : 2029-01-01, [0.4872912290329373, 0.9383594526949871, 14.574349318272075]
15145 : 2029-01-01, [0.6080944906044097, 1.1129181672421047, 14.528987342153485]
15146 : 2029-01-01, [0.3951643923933883, 0.25518312603117493, 15.849652481575438]
15147 : 2029-01-01, [0.33384446612943847, 0.5014993633475554, 15.914656170523006]
15148 : 2029-01-01, [1.2813987069204422, 0.6152701248147309, 15.103331168264829]
15149 : 2029-01-01, [0.2957013789501858, 0.6982555300114442, 16.25604309103837]
15150 : 2029-01-01, [0.38994803691071506, 0.3401297623450626, 16.769922200744222]
15151 : 2029-01-01, [0.38443511305210604, 0.29172532562603914, 17.073839561321858]
15152 : 2029-01-01, [0.030382474625691873, 0.41130131337437076, 17.558316211999937]
15153 : 2029-01-01, [0.5220678278379143, 0.6275541627488869, 17.1003780094132]
15154 : 2029-01-01, [0.5342557317213805, 0.6199846268386138, 17.345759641440008]
15155 : 2029-01-01, [0.8375969971533007, 0.0671998869479428, 17.845203115898755]
15156 : 2029-01-01, [0.2778433528379441, 1.0209202622525004, 17.701236384909556]
15157 : 2029-01-01, [0.20502527381686697, 1.2415252987730379, 17.803449427410094]
15158 : 2029-01-01, [0.6519178206984915, 1.102550649641719, 17.74553152965979]
15159 : 2029-01-01, [0.4418711481602303, 0.4752414528244122, 18.832887399015355]
15160 : 2029-01-01, [0.5900831980726173, 0.9978097090432503, 18.41210709288413]
15161 : 2029-01-01, [0.7796815784210639, 1.9360867743295203, 17.534231647249413]
15162 : 2029-01-01, [0.33634091077618944, 0.35680733489155864, 19.806851754332254]
15163 : 2029-01-01, [1.4145872835735838, 0.616766143739394, 18.71864657268702]
15164 : 2029-01-01, [0.5802467709671, 0.6293935190689547, 19.790359709963944]
15165 : 2029-01-01, [0.3137418586402655, 0.3918974478777771, 20.54436069348196]
15166 : 2029-01-01, [1.7015791740994297, 0.9137139260316389, 18.88470689986893]
15167 : 2029-01-01, [0.4230216393128307, 0.20855093814958317, 21.118427422537586]
15168 : 2029-01-01, [0.3216414957744271, 0.16467049583490315, 21.51368800839067]
15169 : 2029-01-01, [0.2682585383329474, 0.06421052053392623, 21.917530941133126]
15170 : 2029-01-01, [1.4134169567174697, 0.5632437960655846, 20.52333924721695]
15171 : 2029-01-01, [0.6178137351565353, 0.9392383768192668, 21.192947888024197]
15172 : 2029-01-01, [0.1807594818293882, 0.7196295499440004, 22.09961096822661]
15173 : 2029-01-01, [0.7666492902838986, 0.6802804755593335, 21.803070234156767]
15174 : 2029-01-01, [0.8091614005945081, 2.0304696433249654, 20.660368956080525]
15175 : 2029-01-01, [1.3922824152085747, 0.49410405459767276, 21.863613530193753]
15176 : 2029-01-01, [0.723560076566481, 1.2563515894055566, 22.02008833402796]
15177 : 2029-01-01, [0.678844631226506, 1.386076354573482, 22.18507901420001]
15178 : 2029-01-01, [0.4743206601524867, 0.3414386403673012, 23.68424069948021]
15179 : 2029-01-01, [1.4557011724356486, 0.5492665010776485, 22.745032326486704]
15180 : 2029-01-10, [0.44432456718857427, 0.44893649452750145, 9.106738938283923]
15181 : 2029-01-10, [0.758625335173436, 0.29522861113701, 9.196146053689555]
15182 : 2029-01-10, [0.295181197715208, 0.1849355842531213, 10.019883218031671]
15183 : 2029-01-10, [0.2703864480024003, 0.3792005825302341, 10.100412969467365]
15184 : 2029-01-10, [0.2803359032467322, 0.39567232678941056, 10.323991769963857]
15185 : 2029-01-10, [0.2897636101017733, 0.4164458943341699, 10.543790495564055]
15186 : 2029-01-10, [0.3817573462311733, 0.25321448911893346, 10.865028164649893]
15187 : 2029-01-10, [0.39052141366518156, 0.2629177840185742, 11.096560802316246]
15188 : 2029-01-10, [0.3974277799768762, 0.27271118384540705, 11.329861036177716]
15189 : 2029-01-10, [0.40511578404419596, 0.2834414458938815, 11.561442770061923]
15190 : 2029-01-10, [0.4146705854463861, 0.29538172897754594, 11.78994768557607]
15191 : 2029-01-10, [0.4233570161805444, 0.31042017060432864, 12.016222813215125]
15192 : 2029-01-10, [0.4322126441490585, 0.32749320779503255, 12.240294148055911]
15193 : 2029-01-10, [0.44224962778949756, 0.3464285901776873, 12.461321782032815]
15194 : 2029-01-10, [0.45574012057852314, 0.3740777412214165, 12.67018213820006]
15195 : 2029-01-10, [0.4745436734377055, 0.4156174724096873, 12.859838854152606]
15196 : 2029-01-10, [0.4982246303769595, 0.48141197317784196, 13.020363396445198]
15197 : 2029-01-10, [0.5320928644677457, 0.5961995435846816, 13.121707591947573]
15198 : 2029-01-10, [0.7772751062016144, 0.12045261981838194, 13.602272273980004]
15199 : 2029-01-10, [0.1687613613771217, 0.23776735081092998, 14.343471287811948]
15200 : 2029-01-10, [0.4712450899272597, 0.9712786003996453, 13.557476309673094]
15201 : 2029-01-10, [0.19504197041204163, 0.21424218091848998, 14.84071584866947]
