Itinerary: ['earth', 'venus', 'jupiter', 'pluto']
case #: launch date, tof of each leg
2160  : 2023-01-01, [0.09014724942611044, 0.3083102238067704, 9.601542526767119]
2161  : 2023-01-01, [0.09062866508249794, 0.3134200749610897, 9.845951259956411]
2162  : 2023-01-01, [0.08085819607999245, 1.4578691858065225, 8.961272618113485]
2163  : 2023-01-01, [0.08112977321595016, 1.4908706045761067, 9.177999622207944]
2164  : 2023-01-01, [0.08134985364068863, 1.5231106849882876, 9.395539461371024]
2165  : 2023-01-01, [0.07989445729835597, 1.5520844133862615, 9.618021129315382]
2166  : 2023-01-01, [0.07993668568971926, 1.5832463783667652, 9.836816935943515]
2167  : 2023-01-01, [0.07818922507356978, 1.6100524652718637, 10.061758309654566]
2168  : 2023-01-01, [0.07804226533757015, 1.6411395326209979, 10.28081820204143]
2169  : 2023-01-01, [0.07786252403519378, 1.6738029291231982, 10.498334546841606]
2170  : 2023-01-01, [0.07578174958959802, 1.7016349426064061, 10.722583307803994]
2171  : 2023-01-01, [0.0735037773059601, 1.72738481284843, 10.949111409845612]
2172  : 2023-01-01, [0.07302257897363605, 1.7597043841089013, 11.16727303691746]
2173  : 2023-01-01, [0.07052721978055097, 1.7875342104309393, 11.39193856978851]
2174  : 2023-01-01, [0.06786348634326526, 1.8144046015302508, 11.617731912126484]
2175  : 2023-01-01, [0.06505359792306012, 1.8418008654333544, 11.843145536643584]
2176  : 2023-01-01, [0.06003851912566737, 1.8654574133846422, 12.074504067489691]
2177  : 2023-01-01, [0.4132813692360489, 1.6334764676705082, 12.203242163093442]
2178  : 2023-01-01, [0.4162866909873581, 1.6537753778601736, 12.42993793115247]
2179  : 2023-01-01, [0.4228927896011054, 1.6827533796671328, 12.644353830731763]
2180  : 2023-01-01, [0.4275668795427153, 1.7071516979692314, 12.865281422488051]
2181  : 2023-01-01, [0.43435246229980046, 1.7382017258595015, 13.077445811840697]
2182  : 2023-01-01, [0.43890206371865625, 1.7624496752948342, 13.298648260986509]
2183  : 2023-01-01, [0.4432847904340327, 1.786217070743532, 13.520498138822438]
2184  : 2023-01-01, [0.4499717736160724, 1.817312575654214, 13.732715650729714]
2185  : 2023-01-01, [0.4542277879078494, 1.8409153535285356, 13.954856858563614]
2186  : 2023-01-01, [0.46050793658175737, 1.8688103123636939, 14.17068175105455]
2187  : 2023-01-01, [0.467030124456906, 1.898995751026842, 14.383974124516252]
2188  : 2023-01-01, [0.471025702598842, 1.921373613071725, 14.607600684329434]
2189  : 2023-01-01, [0.48192849790192577, 1.9629146032788929, 14.805156898819183]
2190  : 2023-01-01, [0.48615742354854097, 1.9877453147660331, 15.026097261685425]
2191  : 2023-01-01, [0.49223598376579236, 2.0152159585427785, 15.242548057691428]
2192  : 2023-01-01, [0.49859601162549505, 2.0452323519639415, 15.456171636410561]
2193  : 2023-01-01, [0.5048513183858776, 2.0742500075563197, 15.670898674057801]
2194  : 2023-01-01, [0.5135024746911729, 2.109860197049855, 15.876637328258973]
2195  : 2023-01-01, [0.5197576990418779, 2.1390043816746003, 16.09123791928352]
2196  : 2023-01-01, [0.5260804245237953, 2.169208453555365, 16.30471112192084]
2197  : 2023-01-01, [0.5391238755882009, 2.2104305977376244, 16.500445526674174]
2198  : 2023-01-01, [0.5458102153055787, 2.2442608340821244, 16.709928950612298]
2199  : 2023-01-01, [0.5521805147101, 2.2747839612680223, 16.923035524021877]
2200  : 2023-01-01, [0.5659474422188573, 2.322931785548478, 17.111120772232663]
2201  : 2023-01-01, [0.5721884837439638, 2.351497308450669, 17.326314207805368]
2202  : 2023-01-01, [0.5813251643911822, 2.3906348630552268, 17.528039972553593]
2203  : 2023-01-01, [0.592305179569383, 2.428451361767961, 17.729243458662655]
2204  : 2023-01-01, [0.6038769853629581, 2.471606356260237, 17.924516658376806]
2205  : 2023-01-01, [0.612981209631553, 2.5090315383771737, 18.127987251991275]
2206  : 2023-01-01, [0.6246073776888518, 2.550746123570049, 18.3246464987411]
2207  : 2023-01-01, [0.6440618184963309, 2.612434010298567, 18.493504171205103]
2208  : 2023-01-01, [0.6480471038355454, 2.637007494728989, 18.714945401435465]
2209  : 2023-01-01, [0.6651646408347324, 2.691739276412814, 18.893096082752454]
2210  : 2023-01-01, [0.6798430094388204, 2.7432793211103457, 19.076877669450834]
2211  : 2023-01-01, [0.6892357411901812, 2.780738566700397, 19.28002569210942]
2212  : 2023-01-01, [0.704131527852112, 2.831318212263985, 19.464550259883904]
2213  : 2023-01-01, [0.7134914333760584, 2.86855159053875, 19.667956976085193]
2214  : 2023-01-01, [0.7309782385334846, 2.923917071331262, 19.845104690135255]
2215  : 2023-01-01, [0.7410275903182238, 2.9654543363480155, 20.04351807333376]
2216  : 2023-01-01, [0.7586080482921013, 3.0200077790689828, 20.221384172638913]
2217  : 2023-01-01, [0.7766828055283472, 3.0788672289035617, 20.394449965568093]
2218  : 2023-01-01, [0.7942920152009015, 3.1331315860100037, 20.572576398789096]
2219  : 2023-01-01, [0.8070981254312457, 3.17984031320276, 20.763061561365994]
2220  : 2023-01-10, [0.0768169492876545, 1.3574660710331432, 8.565716979679204]
2221  : 2023-01-10, [0.0786288775939669, 1.3907775366612407, 8.780593585744791]
2222  : 2023-01-10, [0.0774455689898217, 1.4183800408361542, 9.004174390174024]
2223  : 2023-01-10, [0.07764526983425515, 1.4485709262290813, 9.223783803936664]
2224  : 2023-01-10, [0.07777427405140198, 1.478340697048442, 9.443885028900157]
2225  : 2023-01-10, [0.07782580140989692, 1.508254465307754, 9.663919733282349]
2226  : 2023-01-10, [0.07779989995748256, 1.5383365709423018, 9.883863529100216]
2227  : 2023-01-10, [0.07602928904282912, 1.5650297430870481, 10.108940967870124]
2228  : 2023-01-10, [0.07583269316080865, 1.594731274922294, 10.329436031916897]
2229  : 2023-01-10, [0.07379492562083372, 1.620923667304846, 10.555281407074322]
2230  : 2023-01-10, [0.07159988548590959, 1.6471782544148161, 10.781221860099274]
2231  : 2023-01-10, [0.06926245053151932, 1.6734709500537692, 11.007266599414713]
2232  : 2023-01-10, [0.06677007412286641, 1.6995422360031192, 11.233687689874014]
2233  : 2023-01-10, [0.06607024295189341, 1.7298346571165109, 11.454095099931594]
2234  : 2023-01-10, [0.06330571680937494, 1.7554775596849803, 11.681216723505646]
