Itinerary: ['earth', 'venus', 'JUPITER_BARYCENTER', 'pluto']
case #: launch date, tof of each leg
10800 : 2027-01-01, [0.25741538363250399, 1.8474809782097141, 7.8951036381577824]
10801 : 2027-01-01, [0.25834697243496629, 1.8900203115067986, 8.1016327160582353]
10802 : 2027-01-01, [0.25681330312210854, 1.9278221538773443, 8.3153645430005483]
10803 : 2027-01-01, [0.25915841226836184, 1.9750175156047036, 8.515824072126934]
10804 : 2027-01-01, [0.25209922080005442, 1.9989742559866492, 8.7489265232132958]
10805 : 2027-01-01, [0.249083258450462, 2.0355021989583197, 8.9654145425912191]
10806 : 2027-01-01, [0.24071861255196511, 2.0614201679011508, 9.1978612195468834]
10807 : 2027-01-01, [0.23397489382283881, 2.091875661923186, 9.4241494442539739]
10808 : 2027-01-01, [0.21843424907885772, 2.1041822415135392, 9.6773835094076031]
10809 : 2027-01-01, [0.61576110736251155, 0.85299142994635402, 10.781247462691134]
10810 : 2027-01-01, [0.62191975734779292, 0.84821703494706291, 11.029863207705144]
10811 : 2027-01-01, [0.62612471844608364, 0.83443220767590509, 11.28944307387801]
10812 : 2027-01-01, [0.23259952746879045, 2.3200427434441178, 10.447357729087091]
10813 : 2027-01-01, [0.23157570130613495, 2.3662709408051388, 10.652153357888727]
10814 : 2027-01-01, [0.22413901292122099, 2.4013124988858978, 10.874548488192881]
10815 : 2027-01-01, [0.21923780346589589, 2.44174542451564, 11.089016772018462]
10816 : 2027-01-01, [0.21390952142471636, 2.4838221743379068, 11.302268304237376]
10817 : 2027-01-01, [0.21473668190728873, 2.5358876792962173, 11.499375638796494]
10818 : 2027-01-01, [0.20521535908565647, 2.5733368535636933, 11.721447787350652]
10819 : 2027-01-01, [0.19837871103594928, 2.6138244351576554, 11.937796853806397]
10820 : 2027-01-01, [0.18732168333343491, 2.6497433973423927, 12.162934919324174]
10821 : 2027-01-01, [0.18725656429900076, 2.7094309210520864, 12.353312514648913]
10822 : 2027-01-01, [0.17896949816224608, 2.7530605898805494, 12.567969911957205]
10823 : 2027-01-01, [0.16157768043232784, 2.7782455416865153, 12.810176777881157]
10824 : 2027-01-01, [0.16049526467469344, 2.8395177682151074, 12.9999869671102]
10825 : 2027-01-01, [0.15048144536904073, 2.8877926534626708, 13.21172590116829]
10826 : 2027-01-01, [0.14907371676113743, 2.9581434227507182, 13.392782860488147]
10827 : 2027-01-01, [0.11387773014274261, 2.9583136458503816, 13.677808624006877]
10828 : 2027-01-01, [0.081065922825260206, 2.9695823086514923, 13.949351768523247]
10829 : 2027-01-01, [1.1985659997111688, 2.7914256663280015, 13.260008333960828]
10830 : 2027-01-01, [1.2060164183207405, 2.7953237086028153, 13.498659873076443]
10831 : 2027-01-01, [1.218204956168742, 2.8227138230246642, 13.709081220806594]
10832 : 2027-01-01, [1.2186914185317164, 2.8033064693142529, 13.97800211215403]
10833 : 2027-01-01, [1.2047437353197086, 2.727130817524547, 14.318125447155742]
10834 : 2027-01-01, [0.50551494203954028, 3.2803523798432952, 14.714132678117164]
10835 : 2027-01-01, [0.43868156210498926, 3.2143581207225504, 15.096960317172458]
10836 : 2027-01-01, [0.36899079490773207, 3.132899657466826, 15.498109547625441]
10837 : 2027-01-01, [0.26286787951223023, 3.0188915030908703, 15.9682406173969]
10838 : 2027-01-01, [0.28157433219329603, 3.0647355025073084, 16.153690165299395]
10839 : 2027-01-01, [0.27553015842482381, 3.0698598347392778, 16.404610006835899]
10840 : 2027-01-01, [0.50957316211431181, 4.534268211095009, 14.956158626790678]
10841 : 2027-01-01, [0.088746224622739428, 3.8998164397133444, 16.261437335663921]
10842 : 2027-01-01, [1.8454388388256491, 5.2433608881025933, 13.41120027307176]
10843 : 2027-01-01, [0.29429359065118982, 3.2701654229719499, 17.185540986376861]
10844 : 2027-01-01, [0.91964065050895938, 1.1836500685057108, 18.896709280985331]
10845 : 2027-01-01, [0.47887752372554215, 4.263251979182531, 16.507870497091925]
10846 : 2027-01-01, [0.23857083239662938, 3.0564122667548448, 18.205016900848527]
10847 : 2027-01-01, [0.45021050167448246, 3.4020487784768147, 17.897740719848702]
10848 : 2027-01-01, [0.60769518396944966, 6.1947216610401448, 15.197583154990404]
10849 : 2027-01-01, [1.2178490656956291, 2.4700304800771744, 18.562120454227198]
10850 : 2027-01-01, [1.2881617267779955, 2.6428300257242285, 18.569008247497774]
10851 : 2027-01-01, [1.2481113680471156, 2.4681104571864947, 19.033778174766393]
10852 : 2027-01-01, [1.0966621514864727, 1.8593975420416669, 20.04394030647186]
10853 : 2027-01-01, [0.66986758922137424, 6.0292606962432966, 16.550871714535329]
10854 : 2027-01-01, [1.0475805478857103, 1.6339873386240389, 20.81843211349025]
10855 : 2027-01-01, [0.67281291193249015, 6.08749238021948, 16.989694707848031]
10856 : 2027-01-01, [0.73420559964149024, 6.0779575512679767, 17.187836849090534]
10857 : 2027-01-01, [0.73492675254886719, 6.4323251368352095, 17.082748110615924]
10858 : 2027-01-01, [1.2921291557051284, 2.4835067225912382, 20.724364121703633]
10859 : 2027-01-01, [1.2366955119375267, 2.2449746209360337, 21.268329867126443]
10860 : 2027-01-10, [0.25109272731568777, 1.7743237197575488, 7.9745835529267639]
10861 : 2027-01-10, [0.25171746273341788, 1.8139982956592895, 8.1842842416072923]
10862 : 2027-01-10, [0.25186613782285089, 1.8515747465916057, 8.3965591155855446]
10863 : 2027-01-10, [0.25197821271207888, 1.8928577984181769, 8.6051639888697444]
10864 : 2027-01-10, [0.24684127118085877, 1.918310581334483, 8.8348481474846583]
10865 : 2027-01-10, [0.24115609058264792, 1.9456818937090616, 9.0631620157082899]
10866 : 2027-01-10, [0.23480311695352346, 1.9725695389972666, 9.29262734404921]
