Itinerary: ['earth', 'venus', 'mars', 'jupiter', 'pluto']
case #: launch date, tof of each leg
12960 : 2028-01-01, [0.10235883313535463, 0.23855753909938987, 1.3775531951756605, 8.281530432589594]
12961 : 2028-01-01, [0.10256335485218246, 0.2568540206776174, 1.3896824378557187, 8.500900186614482]
12962 : 2028-01-01, [0.5923155924041328, 0.7380510332045812, 1.4248028715872116, 7.744830502804074]
12963 : 2028-01-01, [0.03771029561006288, 0.8129899814416364, 1.5312819884418485, 8.368017734506452]
12964 : 2028-01-01, [0.05479728392048895, 0.8391282548281772, 1.5753426625966571, 8.530731798654676]
12965 : 2028-01-01, [0.06984863420830349, 0.8683692046014791, 1.614824952441722, 8.696957208748495]
12966 : 2028-01-01, [0.09906249213773839, 0.8936552359811695, 1.6709695097582034, 8.836312762122889]
12967 : 2028-01-01, [0.12608107493541035, 0.9145811304348923, 1.7281825891325233, 8.981155205497174]
12968 : 2028-01-01, [0.6686872812812997, 0.6767050412180688, 2.0191936815379092, 8.635413995962722]
12969 : 2028-01-01, [0.7835761738530204, 0.2999583127235038, 1.1202449379299118, 10.046220575493562]
12970 : 2028-01-01, [0.7916829034541609, 0.2936453108030581, 1.1499701623317562, 10.264701623411025]
12971 : 2028-01-01, [0.8011788773594255, 0.28722740407663605, 1.1890380226027952, 10.472555695961145]
12972 : 2028-01-01, [0.8129517044056761, 0.28227881729514404, 1.2292285769160884, 10.67554090138309]
12973 : 2028-01-01, [0.8200817776319413, 0.2744856847103937, 1.2661793996477784, 10.889253138009886]
12974 : 2028-01-01, [0.8338924023583224, 0.269201373351863, 1.3174274519893359, 11.079478772300478]
12975 : 2028-01-01, [0.14646415416593297, 0.5584799630742515, 1.9608439387973426, 11.084211943962472]
12976 : 2028-01-01, [0.16803791774197727, 0.6180833265525096, 1.9405628923935847, 11.273315863311927]
12977 : 2028-01-01, [0.247625712435808, 0.7329883142770732, 1.9243479635710745, 11.345038009716045]
12978 : 2028-01-01, [0.8786401671335884, 0.6802321571093339, 4.012733689078233, 8.928393986678849]
12979 : 2028-01-01, [0.4138027978156281, 1.372081584346533, 1.3912603687036535, 11.572855249134188]
12980 : 2028-01-01, [0.30804446507899286, 1.4073467023601631, 1.1876445990585853, 12.096964233502257]
12981 : 2028-01-01, [0.5316767064503907, 0.6802656917981622, 1.8035136428157197, 12.234543958935726]
12982 : 2028-01-01, [0.5197807731538184, 0.6909065020439951, 1.804735905991318, 12.484576818810867]
12983 : 2028-01-01, [0.513308779425293, 0.7051607239076092, 1.8001596472657309, 12.731370849401367]
12984 : 2028-01-01, [0.5145320425715585, 0.7134091599244348, 1.8272007124477478, 12.944858085056259]
12985 : 2028-01-01, [0.5128780472676552, 0.7222553214475592, 1.8416256749049496, 13.173240956379836]
12986 : 2028-01-01, [0.5346282976958764, 0.7258882961547893, 1.9075591428438838, 13.33192426330545]
12987 : 2028-01-01, [0.5322763013451953, 0.7360971792535059, 1.9105134504998318, 13.571113068901468]
12988 : 2028-01-01, [0.5665412916023704, 1.2807888618418006, 1.3239458708167195, 13.828723975739107]
12989 : 2028-01-01, [0.6229283503272778, 1.3377141210565762, 1.351746330216807, 13.937611198399338]
12990 : 2028-01-01, [0.9254691851431862, 1.0485623378153361, 2.6987553254173666, 12.827213151624111]
12991 : 2028-01-01, [0.4945862135844882, 0.29660596488590263, 0.8461410098993988, 16.11266681163021]
12992 : 2028-01-01, [0.16004913078866612, 0.47960579815765403, 0.9795443043167984, 16.380800766736883]
12993 : 2028-01-01, [0.322707009590077, 0.2997789532799459, 2.0084290848698627, 15.619084952260115]
12994 : 2028-01-01, [0.6077244732591726, 0.736906057651486, 2.3114129529596346, 14.843956516129706]
12995 : 2028-01-01, [0.9769706844708139, 0.608925374741784, 4.9799394908586505, 12.184164449928753]
12996 : 2028-01-01, [0.36711967250841143, 0.3106763549934953, 0.6233858659075437, 17.69881810659055]
12997 : 2028-01-01, [0.37720429956446466, 0.24072720240765555, 0.5523198183475193, 18.07974867968036]
12998 : 2028-01-01, [0.49699849752235503, 0.37665815827158, 0.566744803063834, 18.059598541142233]
12999 : 2028-01-01, [0.05559800468305028, 0.5249140248313735, 0.5966026620597843, 18.572885308425793]
13000 : 2028-01-01, [0.1571884930020111, 0.4317493459365222, 1.6370465770900957, 17.774015583971373]
13001 : 2028-01-01, [0.8863833849726622, 1.239038131052565, 2.728620478371239, 15.395958005603534]
13002 : 2028-01-01, [1.0104774660300455, 1.2678304845540596, 2.8596580225634973, 15.362034026852397]
13003 : 2028-01-01, [1.0629102766442255, 1.441306109577588, 2.456444793900482, 15.789338819877702]
13004 : 2028-01-01, [1.546771302830314, 0.8188180188200262, 2.2682685123538344, 16.366142165995825]
13005 : 2028-01-01, [0.8191662886416566, 1.5511991967604086, 4.16142499616931, 14.718209518428624]
13006 : 2028-01-01, [0.8144800498679482, 1.5928967010914854, 3.8022983553763887, 15.290324893664177]
13007 : 2028-01-01, [0.3359184689743127, 0.16288624221085507, 1.137649136740559, 20.11354615207427]
13008 : 2028-01-01, [0.8156578332852661, 1.254435262443621, 5.651443152057644, 14.278463752213469]
13009 : 2028-01-01, [0.8392591033907775, 1.3618132307923914, 5.535321267835293, 14.51360639798154]
13010 : 2028-01-01, [0.8503527501915388, 1.452625723207528, 5.450198777272707, 14.746822749328226]
13011 : 2028-01-01, [0.9256606470841242, 1.5905713445403509, 5.288094392499423, 14.945673615876101]
13012 : 2028-01-01, [0.9898853443303386, 1.730765141455274, 5.110382710873832, 15.168966803340556]
13013 : 2028-01-01, [1.0631229633943364, 1.8434767179685343, 4.96977246042119, 15.37362785821594]
13014 : 2028-01-01, [1.1463449625780966, 1.967647350261029, 4.799312267659557, 15.586695419501316]
13015 : 2028-01-01, [1.2021558952336473, 2.0578097637934643, 4.6997987847032245, 15.790235556269664]
13016 : 2028-01-01, [1.3457535623503911, 2.154560489902351, 4.550434498234067, 15.949251449513188]
13017 : 2028-01-01, [1.367996328610849, 2.2154085478911103, 4.470877557698382, 16.195717565799658]
13018 : 2028-01-01, [1.501647016924374, 2.2716187817047286, 4.378418271784396, 16.3483159295865]
13019 : 2028-01-01, [0.21141853459484086, 1.170291712228841, 1.1248874716321142, 22.243402281544203]
13020 : 2028-01-10, [0.42541489991311826, 0.7876920513747651, 0.7505866281796969, 8.03630642053242]
13021 : 2028-01-10, [0.5735304382440913, 0.6777463800805632, 1.4284836737413675, 7.570239507933978]
13022 : 2028-01-10, [0.5912353089436752, 0.7036079598829464, 1.456334463742895, 7.748822267430484]
13023 : 2028-01-10, [0.039645766716275975, 0.7724987525713469, 1.575011934018937, 8.36284354669344]
13024 : 2028-01-10, [0.048633143883760326, 0.8014960686205689, 1.6083073913399326, 8.541563396155738]
13025 : 2028-01-10, [0.08261262081010849, 0.8224111658310811, 1.6740243168622861, 8.670951896496526]
13026 : 2028-01-10, [0.0983428541403161, 0.8497922438320203, 1.71836472490606, 8.833500177121604]
13027 : 2028-01-10, [0.13277263797877428, 0.8524998609284667, 1.8029127301412653, 8.961814770951495]
13028 : 2028-01-10, [0.7704054854397968, 0.2612226423260234, 1.1240682476817354, 9.844303624552444]
13029 : 2028-01-10, [0.7795048569785553, 0.2530934938330111, 1.158779072728723, 10.05862257645971]
13030 : 2028-01-10, [0.7884361384888723, 0.24452473190025206, 1.2028096257691012, 10.264229503841774]
13031 : 2028-01-10, [0.7981400563182967, 0.237079646335576, 1.2440615769956045, 10.470718720350522]
13032 : 2028-01-10, [0.7510646659903898, 1.1112587451121634, 1.5165979739832331, 9.621078614914214]
