Itinerary: ['earth', 'venus', 'mars', 'pluto']
case #: launch date, tof of each leg
4320  : 2024-01-01, [0.12736718523816004, 0.16008495891259117, 9.71254785584925]
4321  : 2024-01-01, [0.12913643106559178, 0.16730196695900754, 9.9535616019754]
4322  : 2024-01-01, [0.13264097535148608, 0.17498326313178306, 10.19237576151673]
4323  : 2024-01-01, [0.13597315895150425, 0.18259242325627398, 10.431434417792223]
4324  : 2024-01-01, [0.3276940790678435, 0.5064235009347794, 10.165882419997377]
4325  : 2024-01-01, [0.3278932455061251, 0.5143193316311231, 10.407787422862752]
4326  : 2024-01-01, [0.32811368324692725, 0.5225749604864232, 10.649311356266649]
4327  : 2024-01-01, [0.3256401094246811, 0.5298371782311245, 10.894522712344195]
4328  : 2024-01-01, [0.32454859949494813, 0.5366722627208383, 11.138779137784212]
4329  : 2024-01-01, [0.32393619142682223, 0.5457458425489395, 11.380317966024238]
4330  : 2024-01-01, [0.31388645412743066, 0.5511957105927575, 11.634917835279811]
4331  : 2024-01-01, [0.3111616810881447, 0.5565972343239562, 11.8822410845879]
4332  : 2024-01-01, [0.20773595469622216, 0.16477845217188897, 12.627485593131889]
4333  : 2024-01-01, [0.19862022639509525, 0.16725305290729078, 12.884126720697612]
4334  : 2024-01-01, [0.20813837810807853, 0.07748585708457387, 13.214375764807347]
4335  : 2024-01-01, [0.21174670045758645, 0.07882916509163376, 13.45942413445078]
4336  : 2024-01-01, [0.2151371374314309, 0.08009135862459746, 13.704771503943972]
4337  : 2024-01-01, [0.21871561722447017, 0.08142355683015613, 13.949860825945372]
4338  : 2024-01-01, [0.22023437170513963, 0.08220406789234425, 14.197561560402514]
4339  : 2024-01-01, [0.22376917913520197, 0.08352346026383221, 14.442707360600965]
4340  : 2024-01-01, [0.22718624180651048, 0.08479890355476737, 14.688014854638725]
4341  : 2024-01-01, [0.23265128179523653, 0.08766269325595268, 14.929686024948811]
4342  : 2024-01-01, [0.23610247940780113, 0.08896309992184932, 15.17493442067035]
4343  : 2024-01-01, [0.23736547110948295, 0.08859837431963782, 15.424036154570882]
4344  : 2024-01-01, [0.9292506971975908, 0.35247602353125373, 14.718273279271155]
4345  : 2024-01-01, [0.9342653062230384, 0.35529185803969165, 14.96044283573727]
4346  : 2024-01-01, [0.9529812764316022, 0.3614773191232001, 15.185541404445198]
4347  : 2024-01-01, [0.969423776966198, 0.37105179276970374, 15.4095244302641]
4348  : 2024-01-01, [0.9825711092678977, 0.3760839998772615, 15.64134489085484]
