Itinerary: ['earth', 'venus', 'pluto']
case #: launch date, tof of each leg
4320  : 2024-01-01, [0.4921962681386213, 9.507803731861378]
4321  : 2024-01-01, [0.5044817959170795, 9.74551820408292]
4322  : 2024-01-01, [0.5161452155049143, 9.983854784495085]
4323  : 2024-01-01, [0.5372904038856338, 10.212709596114365]
4324  : 2024-01-01, [0.5470796724483675, 10.452920327551633]
4325  : 2024-01-01, [0.5586147995032418, 10.691385200496759]
4326  : 2024-01-01, [0.5712870449804911, 10.92871295501951]
4327  : 2024-01-01, [0.5843788790019718, 11.165621120998027]
4328  : 2024-01-01, [0.5977592974662277, 11.402240702533772]
4329  : 2024-01-01, [0.6113476207503658, 11.638652379249635]
4330  : 2024-01-01, [0.6251742845020654, 11.874825715497932]
4331  : 2024-01-01, [0.6392251377290935, 12.110774862270906]
4332  : 2024-01-01, [0.6535122497321095, 12.34648775026789]
4333  : 2024-01-01, [0.6688705393980521, 12.58112946060195]
4334  : 2024-01-01, [0.6837774487934318, 12.816222551206568]
4335  : 2024-01-01, [0.6999386804035742, 13.050061319596423]
4336  : 2024-01-01, [0.7166449685009744, 13.283355031499026]
4337  : 2024-01-01, [0.7351715177486698, 13.514828482251332]
4338  : 2024-01-01, [0.7546974049790395, 13.74530259502096]
4339  : 2024-01-01, [0.7697867540535784, 13.980213245946421]
4340  : 2024-01-01, [0.8033006194458113, 14.19669938055419]
4341  : 2024-01-01, [0.8293854480464407, 14.420614551953559]
4342  : 2024-01-01, [0.8438998049846762, 14.656100195015323]
4343  : 2024-01-01, [0.2213674189457451, 15.528632581054255]
4344  : 2024-01-01, [0.8617435721487164, 15.138256427851283]
4345  : 2024-01-01, [0.8701501977272678, 15.379849802272732]
4346  : 2024-01-01, [0.8798274358712793, 15.62017256412872]
4347  : 2024-01-01, [0.8878908736539108, 15.86210912634609]
4348  : 2024-01-01, [0.8957714725172462, 16.104228527482753]
4349  : 2024-01-01, [0.9017385559885077, 16.34826144401149]
4350  : 2024-01-01, [0.9110953331211175, 16.588904666878886]
4351  : 2024-01-01, [0.20189294305622454, 17.548107056943778]
4352  : 2024-01-01, [0.19822677626304067, 17.801773223736962]
4353  : 2024-01-01, [0.19845339909054202, 18.051546600909457]
4354  : 2024-01-01, [0.19648509621457644, 18.303514903785423]
4355  : 2024-01-01, [0.18093504243016967, 18.56906495756983]
4356  : 2024-01-01, [0.17826258310230786, 18.82173741689769]
4357  : 2024-01-01, [0.17780539294695888, 19.072194607053042]
4358  : 2024-01-01, [0.2555944320669912, 19.24440556793301]
4359  : 2024-01-01, [0.26121572963299744, 19.488784270367002]
4360  : 2024-01-01, [0.9872097749821834, 19.012790225017813]
4361  : 2024-01-01, [0.9925072769972508, 19.25749272300275]
