Itinerary: ['earth', 'venus', 'saturn', 'pluto']
case #: launch date, tof of each leg
0     : 2022-01-01, [0.20492256954182161, 1.0228180968976452, 8.772259333560534]
1     : 2022-01-01, [0.20861984916993992, 1.0406133764592962, 9.000766774370764]
2     : 2022-01-01, [0.21112895163240772, 1.0509889605624498, 9.237882087805144]
3     : 2022-01-01, [0.21576035764429302, 1.0745838503777685, 9.459655791977939]
4     : 2022-01-01, [0.21807427267903137, 1.0838619319131806, 9.698063795407789]
5     : 2022-01-01, [0.22146642142271303, 1.0999887429343926, 9.928544835642896]
6     : 2022-01-01, [0.22479583615293702, 1.1156315031966249, 10.159572660650438]
7     : 2022-01-01, [0.22800687863084113, 1.1303569974782808, 10.391636123890878]
8     : 2022-01-01, [0.23120071333626932, 1.1452532291411124, 10.623546057522619]
9     : 2022-01-01, [0.234326775304387, 1.1599343987821504, 10.855738825913464]
10    : 2022-01-01, [0.23738112731040228, 1.1740756792075506, 11.088543193482046]
11    : 2022-01-01, [0.2403189976846992, 1.1871249092877458, 11.322556093027556]
12    : 2022-01-01, [0.24324426783485362, 1.2005515011558168, 11.55620423100933]
13    : 2022-01-01, [0.24610842262228236, 1.2134755066695617, 11.790416070708154]
14    : 2022-01-01, [0.25028637818986127, 1.234415865254777, 12.015297756555363]
15    : 2022-01-01, [0.2530340491053027, 1.24671133735561, 12.250254613539086]
16    : 2022-01-01, [0.25571807564055093, 1.258653495905563, 12.485628428453888]
17    : 2022-01-01, [0.2583353842480398, 1.2704073186845228, 12.721257297067439]
18    : 2022-01-01, [0.2608425147802453, 1.280671091708071, 12.958486393511683]
19    : 2022-01-01, [0.2649020309850971, 1.3013458160930174, 13.183752152921885]
20    : 2022-01-01, [0.2673443813938884, 1.3119631721828056, 13.420692446423306]
21    : 2022-01-01, [0.2713060140369067, 1.3314044490192902, 13.647289536943802]
22    : 2022-01-01, [0.2736537608975896, 1.3413022665334042, 13.885043972569004]
23    : 2022-01-01, [0.27755851879750776, 1.360441271253257, 14.112000209949237]
24    : 2022-01-01, [0.27980931482574906, 1.3697944790440946, 14.350396206130156]
25    : 2022-01-01, [0.2836567977794286, 1.3884257366134385, 14.577917465607133]
26    : 2022-01-01, [0.2908279615236068, 1.4259718795928165, 14.783200158883576]
27    : 2022-01-01, [0.2963999470980269, 1.4546250568747874, 14.998974996027187]
28    : 2022-01-01, [0.2985592295929846, 1.4632456476983442, 15.238195122708671]
29    : 2022-01-01, [0.30240703350480563, 1.481889819861906, 15.465703146633288]
30    : 2022-01-01, [0.30802655850684585, 1.5106031238819981, 15.681370317611156]
31    : 2022-01-01, [0.31008567511989404, 1.518639706272495, 15.92127461860761]
32    : 2022-01-01, [0.31578890392108194, 1.5484489691676475, 16.13576212691127]
33    : 2022-01-01, [0.32148263089230245, 1.5773625054785316, 16.351154863629166]
34    : 2022-01-01, [0.32534224073219, 1.5958464132418366, 16.578811346025972]
35    : 2022-01-01, [0.32921470392303165, 1.6139236665567491, 16.80686162952022]
36    : 2022-01-01, [0.35416443163468797, 1.7538641391782503, 16.891971429187063]
37    : 2022-01-01, [0.3622351153127127, 1.796982525801734, 17.090782358885555]
38    : 2022-01-01, [0.36647192563129344, 1.8170750186223252, 17.316453055746383]
39    : 2022-01-01, [0.4168546420811615, 2.337216480203502, 16.995928877715336]
40    : 2022-01-01, [0.42370974097235725, 2.379673756857839, 17.196616502169803]
41    : 2022-01-01, [0.43041552745573003, 2.4197461476810878, 17.399838324863182]
42    : 2022-01-01, [0.4411724598820594, 2.4829981926771874, 17.575829347440752]
43    : 2022-01-01, [0.44807410759539934, 2.5246537822960033, 17.777272110108594]
44    : 2022-01-01, [0.4548562652120437, 2.5646958018969053, 17.980447932891053]
45    : 2022-01-01, [0.46175843050944976, 2.6062559581838816, 18.18198561130667]
46    : 2022-01-01, [0.4730907802471121, 2.659656607734563, 18.367252612018326]
47    : 2022-01-01, [0.481807627623605, 2.72702110693789, 18.541171265438503]
48    : 2022-01-01, [0.49299496015225586, 2.792208335943526, 18.71479670390422]
49    : 2022-01-01, [0.5042283830346318, 2.8579145906210806, 18.887857026344285]
50    : 2022-01-01, [0.5134788250391573, 2.912732103780426, 19.073789071180418]
51    : 2022-01-01, [0.52274834210309, 2.9674693085608723, 19.25978234933604]
52    : 2022-01-01, [0.5341743339649886, 3.034482427751152, 19.43134323828386]
53    : 2022-01-01, [0.5477528091376604, 3.1130323001451283, 19.589214890717216]
54    : 2022-01-01, [0.561590549620691, 3.194269906841227, 19.74413954353808]
55    : 2022-01-01, [0.5732406913854231, 3.2621450880356404, 19.914614220578937]
56    : 2022-01-01, [0.5893449562009154, 3.355795168567731, 20.054859875231354]
57    : 2022-01-01, [0.6012894840766876, 3.425836968038233, 20.22287354788508]
58    : 2022-01-01, [0.6131228840688817, 3.494554357509067, 20.39232275842205]
59    : 2022-01-01, [0.6334443053691716, 3.6562003525163584, 20.460355342114468]
60    : 2022-01-10, [0.20224710398966225, 0.958396067457316, 8.839356828553022]
61    : 2022-01-10, [0.20582653658607866, 0.9739964852795048, 9.070176978134416]
62    : 2022-01-10, [0.20936686838221163, 0.9897541792972367, 9.300878952320552]
63    : 2022-01-10, [0.212848238951131, 1.0050531369962894, 9.53209862405258]
64    : 2022-01-10, [0.21626077222763368, 1.0201194418644919, 9.763619785907876]
65    : 2022-01-10, [0.21839074341713258, 1.0270107351040685, 10.004598521478798]
66    : 2022-01-10, [0.22163291519481498, 1.0409994751664076, 10.237367609638776]
67    : 2022-01-10, [0.22480955281148118, 1.0546314276069255, 10.470559019581593]
